date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.84,18.889999,18.599001,18.84,353094
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.9,18.98,18.799999,18.809999,218192
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.84,18.959999,18.6,18.610001,269147
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.629999,18.940001,18.5795,18.700001,262258
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.68,18.73,18.5,18.67,171752
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.76,18.76,18.459999,18.559999,223753
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.26,18.77,18.25,18.549999,832194
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.74,18.780001,18.562901,18.709999,265424
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.860001,18.959999,18.705,18.83,257734
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.799999,18.834999,18.57,18.66,318077
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.540001,18.59,18.190001,18.299999,351093
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.24,18.339899,17.91,18.030001,337720
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.99,18.25,17.73,18.030001,653632
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.389999,21.52,20.059999,21.32,8135319
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.299999,21.4,20.780001,21.040001,2643090
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.91,21.440001,20.74,20.879999,1409506
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.870001,21.299999,20.825001,21.16,1214079
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.16,21.639999,20.969999,21.559999,936461
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.77,22.07,21.49,21.93,1171089
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.84,22.120001,21.84,22,1609474
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22,22.139999,21.91,22,1300123
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.1,22.549999,21.9827,22.450001,1680867
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.440001,22.639999,22.18,22.639999,1115737
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.49,22.985001,22.450001,22.629999,1928906
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.34,22.379999,22.049999,22.139999,945068
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.139999,22.360001,22.049999,22.33,1021720
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.24,22.610001,22.200001,22.42,1720532
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.469999,22.719999,22.25,22.540001,519134
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.52,22.889999,22.49,22.860001,365402
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.66,22.799999,22.525,22.58,599894
