date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.59,14.7,14.28,14.29,193500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.16,14.55,14.05,14.11,182300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.11,14.29,13.97,14.23,197700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.17,14.29,13.94,14.09,192000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.09,14.35,14.04,14.22,135800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.12,14.41,14.05,14.23,143600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.22,14.39,14.01,14.12,128300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.12,14.17,13.76,13.98,192300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.18,14.37,13.95,13.98,120100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.9,13.9,13.69,13.87,364900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.74,13.86,13.6,13.82,192500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.86,14,13.76,13.99,173200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.07,14.13,13.77,14.06,146400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.16,14.36,14.02,14.34,147900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.67,14.67,14.45,14.5,143200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.64,14.64,14.28,14.43,150900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.6,14.77,14.58,14.74,136500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.88,14.95,14.69,14.8,204500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.82,14.86,14.67,14.83,165900
