date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.67,6.67,6.67,6.67,300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.6,6.62,6.6,6.6,800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.5,6.5,6.3,6.48,4400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.5,6.77,6.5,6.51,6300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.4,6.4,6.25,6.35,3800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.34,6.51,6.25,6.25,3500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.26,6.5,6.26,6.45,4100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.5,6.5,6.36,6.49,4500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.49,6.49,6.49,6.49,0
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.26,6.26,6.25,6.26,900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.33,6.33,6.33,6.33,600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.27,6.48,6.27,6.48,700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.46,6.25,6.46,4500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.49,6.25,6.27,4800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.25,6.25,500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.25,6.25,100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.25,6.25,0
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.45,6.49,6.45,6.49,400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.5,6.5,6.5,6.5,300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.5,6.5,6.5,6.5,0
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.31,6.2,6.2,11400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.21,6.5,6.21,6.5,900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.27,6.5,6.27,6.5,800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.26,6.4,6.1,6.4,3300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.5,6.25,6.5,3700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.39,6.25,6.39,3500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.39,6.39,6.39,6.39,0
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.3,6.2,6.3,4300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.26,6.3,6.25,6.25,6000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.25,6.25,600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.25,6.25,100
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.4,6.4,6.25,6.25,8500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.25,6.25,1300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.1,6.18,6300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.18,6.18,6.18,6.18,0
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.15,6.4,6.15,6.4,1300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.3,6.3,6.25,6.29,1200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.29,6.29,6.29,6.29,0
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.25,6.25,500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.25,6.25,200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.3,6.3,6.2,6.25,1000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.3,6.25,6.3,2800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.31,6.31,6.25,6.28,6800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.27,6.27,6.1,6.13,5100
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.13,6.13,6.13,6.13,0
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.21,6.25,800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.3,6.3,6.25,6.25,2500
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.28,6.3,6.21,6.28,2100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.3,6.37,6.3,6.35,1400
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.28,6.25,6.25,5800
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.25,6.25,300
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.25,6.25,0
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.26,6.16,6.2,3800
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.2,6.2,6.15,6.15,6300
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.3,6.3,6.28,6.29,1100
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.28,6.25,6.26,3800
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.27,6.25,6.25,1600
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.28,6.28,6.25,6.25,1900
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.25,6.25,0
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.49,6.25,6.25,1500
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.34,6.34,6.25,6.25,500
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.25,6.34,6.25,6.25,1300
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.25,6.25,6.25,6.25,500
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.25,6.28,6.25,6.27,900
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.29,6.3,6.29,6.29,1100
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.25,6.4,6.25,6.3,4500
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.15,6.25,5.5,6.25,16100
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.11,6.11,6.11,6.11,100
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.11,6.11,6.11,6.11,0
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.95,6.11,5.95,6.11,2100
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.95,5.95,5.95,5.95,200
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.95,6.11,5.95,6.08,800
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.11,6.11,6.11,6.11,400
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.25,6.25,5.96,6.06,4800
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.1,6.4,6,6,12000
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.01,6.25,5.96,6.25,1600
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.24,6.24,5.95,5.95,2400
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6,6,5.7,5.85,7700
