date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.82,5.34,4.77,5.03,13939800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5,5,4.78,4.89,14051700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.91,5.2,4.81,5.16,9809600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.02,5.11,4.86,5,7701900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.96,5.19,4.88,5.15,8989100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.1,5.1,4.63,4.81,15527000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.87,4.92,4.7,4.84,8816800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.8,4.81,4.55,4.56,8349100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.56,4.73,4.53,4.58,6276600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.43,4.48,4.28,4.34,7265500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.22,4.25,4.15,4.21,6091600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.11,4.15,4.01,4.11,6797400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.11,4.12,3.99,4.05,5736400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.06,4.29,4.02,4.18,6625400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.32,4.36,4.12,4.26,5181700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.32,4.35,4.02,4.05,7267500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.07,4.18,4.04,4.1,5646100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.17,4.23,3.98,4.06,5223800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.07,4.2,4.01,4.19,5711300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.22,4.02,4.03,5645300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.01,4.24,3.95,4,9126000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.05,4.09,3.99,4.02,5146400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.01,4.02,3.82,3.93,8278900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.83,3.86,3.53,3.76,8981800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.77,3.95,3.7,3.93,4633900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.93,3.93,3.75,3.78,5180400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.68,3.8,3.6,3.79,4688300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.83,4.14,3.74,4.03,8227200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.09,4.34,4,4.15,8241100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.03,4.04,3.81,3.9,8270200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.97,4.15,3.87,4.1,7064400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.11,4.35,4.07,4.3,6628400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.22,4.31,4.11,4.16,4122200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.16,4.23,4.08,4.13,3396900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.13,4.22,3.92,3.98,4851400
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.46,5.46,4.38,4.88,41467700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.06,5.46,4.91,5.29,18647900
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.41,5.73,5.28,5.5,15167700
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.61,6.05,5.53,6.02,16386700
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.64,4.7,4.23,4.41,32269300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.4,5.11,4.38,4.94,18992800
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.09,5.5,4.76,5.39,14756000
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.44,5.58,5.1,5.49,8916200
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.37,6,5.34,5.57,13751700
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.65,5.81,5.41,5.61,7714700
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.67,5.83,5.56,5.61,5944000
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.68,5.98,5.43,5.45,8234300
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.45,5.62,5.12,5.13,5836000
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.16,5.22,4.98,5.06,4058700
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.05,5.29,4.99,5.25,5140600
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.2,5.27,4.92,4.98,5180800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.97,5.4,4.91,5.29,8808900
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.24,5.37,5.1,5.14,3160200
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.07,5.16,4.92,4.94,4024300
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.95,4.95,4.64,4.83,7352200
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.86,5.07,4.71,4.72,3968500
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.69,4.77,4.63,4.7,2791100
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.68,4.91,4.66,4.81,3588100
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.89,4.92,4.7,4.71,5216900
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.73,4.85,4.68,4.85,3836400
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.84,4.95,4.76,4.78,3616400
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.82,4.85,4.61,4.65,4384200
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.81,4.81,4.46,4.53,4451300
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.49,4.58,4.38,4.54,3550600
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.55,4.75,4.44,4.44,4319200
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.39,4.54,4.32,4.42,3542200
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.42,4.48,4.36,4.43,2050600
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.42,4.65,4.39,4.42,3639600
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.35,4.35,4.22,4.26,5292400
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.34,4.36,4.23,4.3,3008000
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.3,4.48,4.24,4.28,3998500
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.42,4.43,4.1,4.12,5326700
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.07,4.11,3.95,3.99,3719400
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4,4.05,3.88,3.89,3723800
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.89,3.99,3.81,3.89,2862000
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.89,4.02,3.86,3.97,2906700
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.99,4.13,3.91,4.07,2302000
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.09,4.36,4.08,4.19,3600700
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.26,4.26,4.1,4.15,3000800
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.09,4.12,3.9,3.95,3380700
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.97,4.13,3.92,4.09,3021800
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.14,4.32,4.1,4.29,3900500
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.27,4.48,4.25,4.33,4280900
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.3,4.8,4.29,4.67,5460600
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.69,4.78,4.6,4.71,3689700
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.84,4.94,4.69,4.93,4668300
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.93,5.05,4.72,4.76,4846200
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.94,4.94,4.47,4.61,5271300
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.54,4.56,4.43,4.47,3080400
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.48,4.56,4.43,4.47,4533200
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.02,11,8.61,8.88,170872000
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),9.69,13.97,9.52,13.11,123507800
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),13.4,15,12.56,13.48,56549400
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),13.18,13.71,11.31,12.9,26671800
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.31,14.8,12.03,14.4,24873500
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.35,14.38,12.95,13.01,13906500
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.95,14.8,12.68,14.79,14272500
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.34,15.69,14.06,14.91,16835900
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.88,17.4,14.8,15.7,30259200
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.16,16.209999,14.84,15.15,17749100
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.47,15.96,14.96,15.5,12737100
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.28,15.7,13.5,15.52,19115500
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.91,15.59,14.8,15.11,9993800
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15,15.66,14.71,15.25,10145100
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.15,15.4,14.2,15.03,15742300
