date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.44,8.5,8.22,8.29,36300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.37,8.72,8.205,8.28,38300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.42,8.45,8.25,8.37,45000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.37,9.62,8.32,9.25,130700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.37,10.35,9.31,10.14,93400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.95,10.5,9.77,10.2,71100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.507,10.507,9.51,9.87,43400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.12,11,9.56,9.73,47700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.75,10.24,8.31,8.43,149200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.42,8.72,7.03,7.4,142900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.31,7.607,7.1,7.37,66200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.42,8.63,7.18,8.3,237300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.25,8.75,8.06,8.19,61600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.11,8.54,6.81,7.13,237900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.16,7.33,6.2,7.09,284800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.13,8,7.13,7.59,161400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.63,8.15,7.465,7.73,53100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.63,8,7.525,7.66,35900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.74,7.868,7.3,7.38,74300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.44,8.175,7.13,7.36,61100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.27,7.76,7.2,7.29,52600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.43,7.74,6.69,7.14,69400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.04,7.34,6.95,7.05,38600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.86,7.07,6.66,6.91,43500
