date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),110.410004,111.519997,108.510002,108.589996,64900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),108.599998,108.599998,105.665001,106.010002,75000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),106.410004,106.540001,104.360001,104.760002,75600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),103.800003,106.07,101.800003,102.089996,77700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),102.199997,103.029999,101.75,102.599998,79900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),101.860001,102.550003,100.82,102.540001,61400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),102.220001,103.779999,102.120003,103.779999,58900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),103.879997,105.050003,102.75,104.949997,71800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),106.209999,106.209999,103.400002,103.970001,49700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),102.989998,105.135002,102.139999,104.269997,61600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),102.989998,104.889999,102.870003,104.019997,57300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),103.989998,106,103.989998,105.870003,43500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),106,106.709999,105.349998,106.669998,37500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),107.510002,109.459999,107.510002,108.169998,95700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),109.32,109.32,105.93,105.93,52300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),107.059998,108.449997,105.540001,108.199997,78000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),109.190002,109.419998,107.730003,108.230003,62200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),108.800003,109.139999,107.220001,107.540001,26300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),107.300003,108.199997,106.389999,108.059998,30600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),107,108.809998,106.830002,108.68,44100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),108.139999,108.995003,104.889999,104.889999,54000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),105.139999,107.150002,104.93,107.150002,43800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),105.879997,108.5,105.75,107.860001,49200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),106.580002,106.959999,103.660004,104.050003,76500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),104.169998,106.900002,104.169998,106.419998,46900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),106.32,107.419998,105.605003,106.93,50100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),106.709999,108.5,105.519997,108.309998,48300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),109.199997,111.699997,108.949997,110.910004,75300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),111.339996,113.160004,110.574997,112.68,83600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),109.230003,110.989998,104.120003,104.519997,84600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),106.059998,108.699997,105.099998,108.599998,68400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),109.349998,111.830002,108.889999,111.419998,79800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),111.260002,112.550003,109.989998,110.300003,70600
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),108.970001,110.82,108.220001,110.300003,46100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),109.57,110.379997,108.610001,109.93,44300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),109.540001,111.07,108.709999,108.910004,51700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),107.690002,107.699997,100.849998,102.220001,117200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),101.18,103.489998,101.129997,103,171000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),103,104.629997,101.620003,101.699997,108200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),101.129997,103.345001,101.129997,101.629997,84100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),102.75,103.82,101.080002,101.709999,64800
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),102.080002,102.919998,101,101.849998,111800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),103.239998,103.709999,100.5,101.309998,126600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),100.379997,103.099998,99,99.25,107600
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99.839996,100.309998,98.25,99.610001,54500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),100.489998,101.419998,98.540001,99.139999,35300
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),100.059998,100.150002,98.074997,98.629997,47600
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),98.07,99.18,96.370003,99.019997,61900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99.440002,99.510002,97.699997,98.889999,37000
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),98.690002,100.296997,98.690002,99.5,58500
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),98.900002,99.559998,96.669998,97.150002,90500
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.419998,98.150002,95.790001,97.190002,115700
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.57,98.985001,96.370003,97.089996,39300
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.93,100.510002,96.93,100.330002,58200
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99,102.169998,99,100.510002,179200
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),100.330002,101.800003,98.980003,99.529999,97000
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99.980003,99.980003,97.760002,97.839996,78100
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),98.339996,98.835999,95.959999,96.019997,66800
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.629997,98.129997,96.445,96.989998,83000
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.660004,98.364998,97.650002,98,97100
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.889999,98.769997,97.459999,98.010002,59400
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),98.650002,99,95.75,95.910004,42600
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.900002,95.120003,93.699997,94.550003,89000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.32,96.43,94.32,95.970001,103000
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.690002,97.894997,95.525002,95.790001,83700
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.050003,96.32,95.120003,95.440002,49400
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),95.440002,96.779999,95,95.540001,61100
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),95.629997,96.169998,95.239998,96.099998,72600
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),95.610001,96.980003,94.860001,96.18,124800
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.029999,97.879997,95.540001,96.150002,107200
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),95.879997,96.339996,94.5,94.830002,57100
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),95.440002,96,93.379997,93.709999,76200
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),92.93,95.489998,92.650002,93.540001,98400
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.349998,94.349998,90.370003,90.870003,101300
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),91,91.129997,89.300003,89.459999,144000
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),89.199997,90.246002,88.559998,90.040001,132000
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),90.400002,90.870003,89.07,90,97800
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),90.139999,92.110001,90,91.389999,88600
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),90.779999,92.5,90.360001,92.43,61700
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),91.599998,93.5,91.599998,92.459999,70800
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),92.580002,94.860001,92.580002,93.980003,64900
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.099998,94.82,94.099998,94.300003,54300
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),93.980003,94.940002,93.110001,93.239998,51100
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),93.5,93.5,91.889999,92.290001,61400
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),93.029999,93.650002,92.330002,93.18,67900
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),93.989998,94.129997,92.830002,93.790001,67800
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),93.790001,95.07,93.790001,94.849998,83800
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.739998,95.330002,93.809998,93.809998,51900
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),93.349998,94.120003,93.190002,93.980003,57800
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),95.389999,98.324997,93.870003,96.129997,105900
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.5,97.839996,95.790001,96.260002,52000
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.610001,97.099998,95.18,95.18,74200
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.279999,96.349998,94.559998,94.75,69800
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),95.709999,96.198997,94.720001,94.849998,152800
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.059998,95.43,94.059998,94.769997,65500
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),95.25,95.25,93.32,95,88200
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),93.620003,95.165001,93.620003,94.57,66500
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.529999,95.089996,93.650002,94.989998,57700
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),95.139999,95.885002,93.919998,94.93,63800
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),95.5,95.5,93.82,94.400002,101700
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),95,96.239998,94.209999,96,114800
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.160004,96.160004,94.110001,94.779999,91100
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),92.519997,94.470001,91.394997,91.440002,115000
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),91.669998,93.489998,91.010002,92.68,105400
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),92.550003,94.089996,92.230003,93.980003,120200
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.449997,94.449997,91.510002,92.949997,52800
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),92.25,93.25,92.25,92.809998,53300
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),93.230003,93.230003,91.730003,92.239998,47500
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),91.690002,92.550003,91.080002,92.449997,41400
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),91.589996,92.739998,90.510002,91.959999,95400
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),91.059998,91.650002,90.040001,90.120003,48100
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),89.480003,90.699997,89.120003,90.379997,78200
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),91.790001,95,91.790001,93,115700
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),92.760002,92.760002,91.239998,91.900002,87300
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),90.82,90.82,89.679001,90.050003,75100
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),89.290001,91.220001,88.260002,91.190002,55900
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),91.239998,91.445,89.910004,90.620003,56300
