date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.91,39.91,38.700001,39.68,199800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.790001,40.279999,39.419998,39.93,170000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.060001,40.23,39.68,39.689999,154700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.5,40.09,39.369999,39.380001,135700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.380001,39.66,39.189999,39.630001,178200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.459999,39.459999,39.029999,39.189999,238800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.16,39.48,38.880001,39.189999,215400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39,39,38.080002,38.310001,280000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.860001,38.959999,38.220001,38.43,144100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.380001,38.48,37.810001,37.830002,233800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37.75,38.049999,37.32,37.709999,208700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37.669998,37.82,37.439999,37.77,240800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37.950001,38.09,37.419998,38,173200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.32,38.959999,38.290001,38.77,264800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.849998,39.27,38.830002,39,256300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.310001,39.599998,38.369999,38.450001,190900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.849998,39.099998,38.52,38.990002,201600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.259998,39.360001,38.669998,38.73,141400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.82,39.02,38.41,38.98,200500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.310001,38.450001,37.689999,37.700001,177100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37.919998,37.919998,36.610001,36.860001,787600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37,37.32,36.75,37.029999,354300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.880001,37.240002,36.400002,36.939999,288200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.790001,36.790001,35.799999,35.84,397300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.77,36.099998,35.560001,35.75,300700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.75,35.990002,35.540001,35.619999,198900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.5,35.73,35.119999,35.360001,368700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.200001,35.52,34.950001,35.130001,441800
