date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.630001,36.290001,35.540001,36.110001,18900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.32,36.349998,35.82,36.009998,23600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.209999,36.290001,35.950001,36.130001,32100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.959999,36.400002,35.959999,36.150002,15900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.150002,36.599998,36.150002,36.360001,47700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.299999,36.360001,35.900002,36.119999,19000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.299999,36.34,35.990002,36.049999,8200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.049999,36.049999,35.630001,35.84,16300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.130001,36.299999,35.849998,36.060001,26700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.540001,36.540001,35.790001,36,12300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.57,35.650002,34.48,34.68,47000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.490002,34.549999,32.040001,32.869999,97700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.259998,33.27,33,33,17300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33,33.400002,33,33.139999,16600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.080002,33.259998,32.900002,33.09,7800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.400002,33.639999,33.150002,33.189999,19400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.459999,33.720001,33.349998,33.490002,14700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.75,34.889999,33.599998,34.700001,34700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.119999,35.119999,34.599998,34.970001,32500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.84,35.310001,34.779999,34.889999,10200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.09,35.130001,34.009998,34.049999,20000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.400002,34.73,34.09,34.490002,18900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.560001,34.77,34.470001,34.639999,12600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.049999,35.18,35,35.040001,21200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.279999,35.279999,34.950001,35.009998,28300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.990002,35.209999,34.790001,35.049999,20300
