date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.029999,34.990002,34.029999,34.599998,113000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.259998,34.259998,33.560001,33.639999,124100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.759998,34.200001,33.5,33.799999,120400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.619999,34.154999,33.220001,33.389999,103800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.32,34.099998,33.27,34.009998,91400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.5,33.77,33.130001,33.310001,114800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.220001,33.535,32.813,32.93,117900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.630001,32.73,32.189999,32.700001,202600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.369999,33.779999,32.799999,32.869999,103900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.529999,33,32.215,32.279999,132200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.66,32.029999,30.6,31.34,120400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.450001,31.450001,30.870001,31.07,81400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.26,32.34,31,32.290001,91200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.599998,33.474998,32.599998,33.139999,174900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.43,33.810001,32.23,32.720001,97200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.130001,33.130001,32.25,32.27,81400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.970001,33.035,32.23,32.330002,86000
