date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.18,1.13,1.15,70200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.15,1.12,1.14,86400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.13,1.22,1.13,1.2,130100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.21,1.22,1.176,1.2,19900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.18,1.13,1.15,101800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.199,1.14,1.19,19000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.17,1.21,1.15,1.17,53900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.173,1.2,1.16,1.17,16600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.21,1.21,1.15,1.16,19600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.22,1.22,1.15,1.15,19100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.18,1.14,1.15,48000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.17,1.145,1.15,22700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.13,1.18,1.13,1.13,65200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.125,1.15,1.12,1.13,35700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.18,1.15,1.16,27400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.18,1.15,1.17,56100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.238,1.16,1.19,55800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.212,1.3,1.19,1.27,47600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.243,1.288,1.15,1.2,77800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.182,1.189,1.15,1.17,114800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.161,1.25,1.16,1.22,53000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.22,1.35,1.22,1.3,106200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.31,1.31,1.23,1.26,12500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.25,1.33,1.24,1.28,99000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.284,1.4,1.27,1.38,140000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.33,1.37,1.3,1.305,40400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.3,1.32,1.28,1.3,17700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.31,1.38,1.29,1.38,167800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.42,1.42,1.35,1.38,87600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.36,1.313,1.32,13100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.352,1.42,1.33,1.42,29600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.42,1.42,1.36,1.41,40400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.411,1.46,1.38,1.46,44000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.58,1.46,1.57,144500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.56,1.64,1.5,1.64,188400
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.54,1.61,1.44,1.52,178400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.55,1.44,1.47,299800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.54,1.44,1.5,117700
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.45,1.6,1.42,1.565,378600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.54,1.69,1.51,1.6,141600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.6,1.73,1.56,1.73,160500
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.75,1.897,1.68,1.79,453600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.93,2.09,1.75,1.91,1370500
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.8,1.93,1.78,1.9,262000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.86,1.89,1.58,1.685,1731600
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.75,1.76,1.63,1.65,757400
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.65,1.72,1.63,1.65,108000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.67,1.71,1.56,1.56,51700
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.55,1.62,1.4,1.525,191100
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.58,1.42,1.55,49600
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.58,1.6,1.44,1.47,27300
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.44,1.48,1.43,1.45,43600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.42,1.46,1.42,1.44,36400
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.48,1.43,1.43,712300
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.457,1.49,1.37,1.41,885000
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.43,1.86,1.43,1.68,2482800
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.75,1.91,1.65,1.9,1019000
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.89,2.04,1.83,1.99,377800
