date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.769997,83.720001,80.279999,81.449997,7943200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.379997,79.779999,77.559998,79.309998,6156400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.849998,77.989998,74.800003,76.199997,10670000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.160004,77.089996,75.07,75.699997,6839500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.339996,78.720001,76.169998,77.940002,6371300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.599998,77.889999,75.760002,77.029999,7559800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76,76.349998,73.169998,75.610001,11842800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.589996,75.900002,72.940002,74.43,10264100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.199997,75.330002,73.25,73.470001,5096800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.129997,74.830002,72.550003,73.800003,6901800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.32,72.400002,70.699997,72.269997,8164300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.010002,74.559998,71.93,73.220001,11314600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.199997,74.480003,72.599998,73.870003,12680100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.5,76.620003,74.360001,75.190002,7961300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.980003,77.07,75.290001,76.75,6936900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.269997,77.470001,75,75.150002,8803600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.860001,75.959999,72.309998,72.690002,12997200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.099998,73.599998,71.459999,71.709999,10023300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.25,73.019997,71.669998,73.019997,8614600
