date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.13,5.13,4.56,4.72,817300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.7,4.72,4.54,4.6,258100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.61,4.61,4.28,4.3,468700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.24,4.34,4.18,4.31,407700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.27,4.71,4.26,4.71,449400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.52,4.73,4.5,4.57,171200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.58,4.65,4.46,4.49,302600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.48,4.55,4.3,4.37,278100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.45,4.575,4.41,4.52,168900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.49,4.49,3.75,3.76,718100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.75,3.75,3.57,3.65,370000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.65,3.82,3.56,3.82,297000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.76,3.8,3.43,3.62,516300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.58,3.832,3.57,3.68,380800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.7,3.71,3.59,3.65,150100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.71,3.72,3.44,3.44,228900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.5,3.59,3.47,3.55,148500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.51,3.59,3.4,3.42,120800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.43,3.52,3.409,3.5,374900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.5,3.55,3.35,3.37,220300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.32,3.37,3.21,3.21,265400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.16,3.42,3.15,3.38,263700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.35,3.37,3.26,3.28,183600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.21,3.24,3.02,3.1,279400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.03,3.176,3.03,3.13,191000
