date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99.139999,100.669998,98.730003,100.019997,175500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99.360001,99.480003,96.360001,96.419998,181400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.400002,97.68,95,97.610001,205200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.029999,99.589996,96.650002,96.940002,172800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.32,100.099998,96.769997,99.709999,178600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),98.400002,99.599998,97,97.660004,138400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.370003,97.860001,96.599998,97.010002,205200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.510002,96.879997,94.550003,96.629997,153700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.230003,98.699997,95.470001,95.639999,123900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94.660004,96.610001,93.970001,96.43,161800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.25,96.260002,94.169998,96.129997,159200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.25,96.25,94.010002,96.239998,130500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.519997,97.260002,95.480003,96.760002,128200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.5,98.669998,96.760002,97.849998,205500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99.230003,99.279999,95.82,96.07,138700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.029999,97.050003,94.839996,95.110001,104300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.940002,96.529999,95.190002,96.419998,109200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.220001,97.970001,96.379997,96.57,89700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.669998,99.410004,96.120003,99.059998,92000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),98.309998,99.57,97.989998,98.349998,124500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.779999,98.949997,94.650002,94.93,138200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.959999,97.5,94.699997,97,123600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.5,97.489998,94.339996,96.160004,138500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.080002,96.139999,93.330002,95.870003,177700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.480003,96.730003,95,95.209999,85100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94.959999,95.050003,93.440002,94.540001,89400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94.889999,96.75,94.760002,96.650002,142300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.629997,98.739998,96.050003,98.230003,117800
