date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.82,54.82,52.169998,52.400002,57300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.560001,53.650002,51.799999,52.93,71700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.57,53.77,51.810001,52.02,74700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.259998,54.990002,52.84,54.82,140900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.630001,54.16,51.529999,53.580002,115500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.580002,53.580002,52.389999,52.599998,54400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.200001,53.689999,52.290001,53.639999,74400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.650002,54.799999,52.66,54.700001,103900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.790001,56.09,54.23,54.93,75400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.369999,56.189999,54.09,54.450001,88000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.419998,53.889999,52.610001,53.200001,79400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.57,54,53,53.669998,52200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.330002,55.77,53.080002,55.610001,93800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.580002,58.380001,55.25,57.59,176600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.360001,59.34,57.360001,58.09,98400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.709999,61.369999,58.709999,60.790001,117300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.650002,62,59.07,60.59,85700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.93,61.990002,59.900002,61.34,77400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.959999,61.220001,59.779999,61.060001,79300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),59.849998,63.389999,59.560001,63.200001,135800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.450001,63.450001,61.790001,61.880001,93400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.66,63.400002,60.349998,60.709999,77600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.279999,61,58.900002,59.560001,126500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60,60.450001,58.07,58.959999,133100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65,65.629997,61.060001,62.330002,327100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.610001,62.610001,60.080002,61.66,136400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.509998,64.220001,61.509998,63.939999,96100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.610001,64.610001,63.290001,63.919998,100600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.389999,65.379997,63.389999,64.260002,123800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.740002,63.740002,60.419998,61.150002,165300
