date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),247.679993,252.535004,243.25,244.770004,272800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),240.820007,241.550003,230.919998,231.690002,498800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),231.399994,232.949997,227.570007,231.190002,812600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),228.449997,234.630005,225.850006,231.809998,282000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),233.779999,249.285004,231.889999,247.320007,370800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),244.429993,252.759995,242.529999,245.080002,363300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),246.130005,251.960007,244.860001,249.860001,331700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),251.550003,258.769989,247.889999,258.149994,385200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),258.920013,262.529999,255.955002,258.390015,448800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),254.880005,266.339996,252.729996,263.059998,441800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),259,260.399994,253.809998,257.230011,191100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),260.859985,260.859985,252.345001,255.820007,222100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),256.75,256.75,248.679993,250.309998,230800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),251.630005,258.149994,248.940002,252.740005,196000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),254.949997,254.949997,241.869995,252.970001,389500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),254.789993,255.764999,246.660004,246.690002,153400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),250.669998,250.759995,246.119995,250.589996,262400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),251.520004,253.050003,247.899994,252.369995,250900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),251.089996,255.880005,250.050003,255.720001,183200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),254.929993,254.929993,248.830002,250.059998,123000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),251.960007,258.434998,251.509995,252.190002,272800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),253,254.550003,247.804993,254.360001,258500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),253.720001,253.839996,250.919998,252.009995,130200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),250.880005,255.369995,249.25,255.029999,144500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),255.979996,260.015015,254.210007,258.600006,280600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),259.48999,265.86499,257.959991,265.059998,224700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),262.609985,272.529999,262.450012,272.339996,333200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),272.869995,273.279999,267.410004,273.040009,231300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),272.290009,272.920013,267.700012,270.01001,153000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),262.429993,270.570007,261.410004,264.75,192300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),267.380005,268.559998,261.774994,268.309998,178400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),270.23999,274.980011,270.149994,273.149994,237700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),270.769989,277.339996,269.25,270.559998,225600
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),266.950012,268.799988,263.575012,268.609985,247000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),266.089996,267.329987,254.910004,258.299988,485600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),256.940002,263.660004,256.559998,262.679993,475600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),239.240005,250.744995,234.509995,238.369995,1318300
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),237.699997,241.820007,229.270004,231.259995,570300
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),231.5,234.919998,224.024994,232.320007,688000
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),232.210007,232.830002,226.169998,230.740005,447700
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),231.300003,235.559998,225.690002,234.919998,575600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),234.720001,239.679993,232.529999,236.669998,279100
