date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.889999,24.5,23.77,24.15,106000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.969999,24,23.280001,23.34,119100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.459999,23.77,23.15,23.51,107000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.27,23.809999,23.16,23.440001,222000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.459999,23.559999,23.16,23.459999,78900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.190001,23.190001,22.9,23.02,74800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23,23.27,22.790001,23.26,64100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.15,23.309999,22.51,22.82,89000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.120001,23.23,22.389999,22.620001,79500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.32,22.440001,22.139999,22.23,103500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.82,22.33,21.82,22.23,60100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.360001,22.5,22.18,22.43,93600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.57,22.85,22.110001,22.85,117700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.120001,23.780001,23.120001,23.77,185900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24,24,23.209999,23.309999,116200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.75,22.75,21.48,21.709999,158000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.969999,22.15,21.280001,22.040001,201500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.209999,22.42,21.799999,22.17,122200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.219999,22.370001,21.959999,22.18,150700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.120001,22.309999,21.889999,22.110001,113400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.67,21.91,20.85,20.889999,323800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.129999,21.219999,20.01,20.77,143800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.379999,20.940001,20.209999,20.77,158900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.51,20.6,20.110001,20.280001,130400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.26,20.57,19.959999,20.1,90500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.110001,20.110001,19.209999,19.780001,107400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.469999,19.85,19.379999,19.85,122400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.879999,20.209999,19.59,20.190001,213600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.09,21.08,20.09,20.870001,139300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.190001,20.450001,19.17,19.43,332400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.809999,20.1,19.52,19.99,139600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.07,20.9,20.07,20.83,133700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.610001,20.83,20.379999,20.52,121800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.209999,20.66,20.200001,20.23,143100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.15,20.15,19.780001,19.950001,121000
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.83,20.040001,19.48,19.66,107200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.48,20.040001,19.370001,19.73,169300
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.639999,19.74,19.23,19.290001,113900
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.469999,19.57,19.200001,19.25,159700
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.110001,19.25,18.91,18.950001,113300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.4,19.690001,19.219999,19.379999,162200
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.24,19.4,18.82,19.309999,115300
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.51,20.33,19.51,20.01,198900
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.879999,20.58,19.879999,20.309999,145700
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.41,20.549999,19.76,20.27,90600
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.530001,20.790001,20.110001,20.34,77000
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.700001,20.870001,20.5,20.51,85300
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.5,20.57,20.110001,20.17,120200
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.08,20.190001,19.77,19.92,116600
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.85,20.27,19.610001,19.76,94400
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.700001,19.700001,18.82,18.98,131200
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.950001,19.469999,18.950001,19.07,674900
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.110001,19.23,18.76,18.84,159400
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.809999,19.1,18.76,18.790001,88100
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.690001,19.940001,18.68,19.719999,125200
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.809999,20.07,19.780001,19.85,125200
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.98,19.98,19.389999,19.41,105100
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.5,19.91,19.5,19.59,117600
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.75,19.75,19.17,19.18,63600
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.299999,20.059999,19.299999,20,98800
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.93,20.299999,19.9,20.299999,151400
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),20.860001,20.940001,20.030001,20.120001,187000
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.91,19.91,19.469999,19.58,108200
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.559999,19.719999,19.450001,19.610001,86600
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.82,20,19.33,19.42,156100
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.41,19.66,19.280001,19.59,95800
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.700001,20,19.700001,19.889999,71600
