date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.130001,48.84,48.009998,48.799999,21000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.799999,48.799999,47.18,47.330002,18000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.720001,47.990002,47.5,47.830002,18800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.48,48.599998,47.27,47.540001,45700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.209999,47.650002,46.759998,47.279999,14900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.799999,46.799999,46.130001,46.279999,8900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.049999,46.27,45.580002,45.919998,9800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.459999,45.91,45.459999,45.700001,9500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.259998,46.259998,45.369999,45.900002,9800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.119999,46.119999,45.34,45.77,6700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.130001,46.099998,44.529999,45.77,7800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.209999,46.209999,45.630001,46.150002,4900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.470001,46.950001,46.299999,46.860001,8100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.93,48.259998,46.93,48.259998,11700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.790001,48.790001,47.23,47.23,10300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.5,48.119999,46.82,48.07,8800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.310001,48.540001,46.700001,48.279999,12500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.02,48.139999,47.099998,47.299999,9800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.75,48.810001,46.560001,47.150002,11100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.799999,47.400002,46.549999,47.02,12100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.610001,47.959999,43.639999,43.709999,15800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.66,43.950001,42.049999,42.669998,12400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.150002,43.43,41.880001,42.259998,14600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.25,42.869999,41.5,41.75,10700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.880001,42.049999,40.299999,40.299999,16200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.27,41.099998,39.439999,39.630001,13800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.900002,40.139999,39.900002,40.07,8100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.990002,40.82,39.990002,40.82,8200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.82,42.880001,40.82,42.389999,12700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.669998,41.669998,39.060001,40.200001,22900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.009998,41.240002,39.419998,41.240002,11400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.130001,43.880001,41.130001,42.990002,18200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.77,42.77,42.099998,42.099998,13100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.91,41.91,40.380001,40.52,7100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.119999,41,40.07,40.299999,8800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.150002,40.48,40.150002,40.48,5800
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.880001,40.91,40.419998,40.419998,5200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.669998,41.349998,40.150002,40.349998,7400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.869999,40.91,40.599998,40.599998,5900
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.759998,40.099998,38.59,38.82,52100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.040001,40.349998,38.889999,40.349998,11100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.700001,39.75,38.900002,39.259998,6200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.189999,39.849998,39.119999,39.57,10900
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.91,40.150002,39.91,40.110001,5800
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.84,40.299999,39.84,40.299999,7000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.139999,41.25,40.139999,40.68,5800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.330002,41.330002,40.599998,41.220001,7000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.290001,42,41.209999,41.209999,6900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.400002,41.400002,40.259998,40.450001,9300
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.830002,41.310001,40.279999,40.389999,7100
