date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.5,41.950001,41.310001,41.310001,6500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.389999,41.990002,40.099998,40.099998,9600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.48,40.700001,39.310001,39.310001,6500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.009998,39.950001,38.860001,38.860001,19200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.75,38.75,37.360001,38.240002,11600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.200001,38.200001,37.57,37.57,4200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37.709999,38,37.080002,37.919998,14900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.25,37.82,36.25,37.779999,6200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.139999,38.490002,37.5,37.599998,7500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37.869999,37.869999,37.400002,37.599998,8300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37.009998,37.889999,37.009998,37.439999,18000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.900002,37.880001,36.900002,37.880001,3000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.830002,38.869999,37.91,38.869999,6400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.459999,40.27,38.459999,40.27,7000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.470001,40.470001,38.93,39.139999,10100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.389999,39.389999,38.389999,38.799999,9200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.119999,39.540001,38.84,38.84,5700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.25,39.25,38.32,38.830002,2500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.25,39.25,39.25,39.25,3200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.25,39.25,38.419998,38.419998,3700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.720001,38.720001,35.279999,35.279999,8600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.080002,37.810001,36.080002,37.209999,7600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.310001,37.900002,36.310001,36.560001,6100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.650002,36.650002,35.5,36.189999,13100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.73,36.330002,35.73,36.310001,3100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.419998,36.970001,36,36.950001,10500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.91,36.959999,36.099998,36.099998,8500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.200001,36.799999,36.130001,36.580002,8900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37.299999,37.299999,36.32,36.32,6000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.959999,36.41,35.040001,35.060001,14700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.580002,35.599998,34.549999,35.48,6800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.599998,37.27,35.57,36.52,7700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.849998,37,35.599998,35.599998,7800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.25,36.25,34.049999,34.110001,9000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.380001,34.700001,34.049999,34.07,3900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.049999,34.34,33.830002,34.029999,7900
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.349998,34.349998,33.959999,33.959999,3500
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.549999,34.689999,33.549999,34.110001,6900
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.57,34.57,33.650002,34.189999,4800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.990002,33.990002,33.959999,33.959999,2800
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.490002,34.880001,34.490002,34.84,5300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.700001,34.869999,34.119999,34.119999,5800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.25,34.25,33.619999,34.080002,4100
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.400002,34.400002,34.400002,34.400002,1500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.099998,34.630001,34.099998,34.630001,2300
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.630001,34.650002,33.970001,34.650002,2900
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.869999,34.869999,34.099998,34.529999,4400
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.349998,34.349998,34.330002,34.330002,1800
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.459999,34.459999,34.459999,34.459999,1900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.110001,35.110001,35.029999,35.099998,4100
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.009998,35.009998,33.560001,33.900002,12900
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.509998,33.599998,33.110001,33.5,25500
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.810001,34.77,33.810001,34.139999,4000
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.75,34.939999,34.610001,34.610001,3900
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.439999,35,34.150002,34.91,6600
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35,35.880001,35,35.700001,10300
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.689999,35.689999,35.279999,35.279999,2400
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.119999,36.119999,35.41,35.41,3000
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.310001,35.419998,35.25,35.259998,10500
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.34,36.5,36.34,36.5,3800
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.529999,37.43,35.529999,36.790001,6800
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),37.099998,37.439999,36.189999,36.189999,3400
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),36.630001,36.630001,35.25,35.48,10600
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.380001,35.66,35.150002,35.66,4400
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),36.310001,37.400002,36.279999,36.439999,4900
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),36.169998,36.18,36.169998,36.18,1500
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),36.439999,37.450001,36.380001,37.07,4300
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),37.450001,37.450001,36.150002,36.150002,2900
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.57,36.27,34.799999,35.400002,8100
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.990002,36.169998,34.900002,35.099998,8200
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.34,35.34,34.98,35.110001,6100
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),34.849998,35.259998,34.849998,34.919998,2500
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),34.93,34.93,34.93,34.93,1300
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),34.91,35.75,34.91,35.259998,15700
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.009998,35.349998,35.009998,35.349998,6100
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.02,35.48,35.02,35.48,5700
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.599998,35.66,35.599998,35.66,3100
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),34.939999,35.299999,34.939999,35.139999,5500
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.150002,35.169998,35.150002,35.150002,4000
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.049999,35.080002,34.900002,35.040001,12100
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),34.900002,35.32,34.900002,35.32,4100
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.25,35.470001,35.25,35.470001,8300
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.200001,35.459999,35.009998,35.16,8700
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),36.02,36.25,35.16,35.900002,5100
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),36.099998,36.189999,35.73,35.73,5100
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),36,36.189999,35.77,36.189999,11700
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),36,36.450001,36,36.220001,4300
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35,35.93,35,35.32,6700
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.279999,35.279999,35.23,35.23,2200
