date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.83,7.89,7.82,7.86,12900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.86,7.95,7.86,7.93,19300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.9,7.94,7.87,7.89,22000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.93,7.95,7.86,7.93,33300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.94,7.98,7.93,7.95,44800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.93,7.97,7.89,7.91,27600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.94,7.94,7.84,7.85,27900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.83,7.88,7.82,7.87,5500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.88,7.89,7.8,7.84,24100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,7.83,7.76,7.76,13600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.76,7.78,7.67,7.69,43700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.68,7.68,7.63,7.65,8200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.66,7.66,7.58,7.61,14200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.65,7.71,7.61,7.68,35900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.64,7.7,7.64,7.65,22700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.69,7.69,7.66,7.67,17500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.72,7.73,7.71,7.71,27700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.72,7.74,7.68,7.74,23700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.77,7.93,7.74,7.92,76300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.97,7.97,7.91,7.91,12400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.99,8.02,7.96,8,23000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.06,8.18,8.04,8.18,26100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.16,8.16,8.04,8.06,24800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.04,8.07,7.98,8.01,20500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.01,8.17,8.01,8.15,24600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.15,8.18,8.11,8.18,12200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.19,8.27,8.14,8.27,25900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.28,8.4,8.2,8.27,59500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.29,8.34,8.21,8.32,35400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.26,8.26,8.12,8.2,32400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.18,8.22,8.13,8.18,5400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.19,8.25,8.17,8.21,12700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.22,8.15,8.17,10000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.19,8.22,8.07,8.11,38700
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.16,8.21,8.16,8.17,13400
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.17,8.21,8.12,8.19,11200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.21,8.21,8.14,8.15,10600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.15,8.21,8.11,8.11,37300
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.14,8.14,8.08,8.1,14000
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.1,8.12,8.03,8.09,28000
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.1,8.15,8.05,8.11,33800
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.05,8.12,8.03,8.08,34400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.12,8.12,8,8.01,49300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.06,8.07,7.92,7.94,89700
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.92,7.96,7.81,7.84,46500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.85,7.87,7.8,7.87,37700
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.82,7.85,7.76,7.76,28600
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.77,7.8,7.74,7.79,22500
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.75,7.77,7.74,7.76,19200
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.76,7.8,7.7,7.78,20900
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.74,7.81,7.67,7.71,37500
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.74,7.78,7.69,7.76,26400
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.77,7.83,7.77,7.78,47400
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.81,7.81,7.78,7.78,14300
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.78,7.78,7.72,7.78,18400
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.76,7.77,7.7,7.7,44400
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.76,7.79,7.72,7.73,25500
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.71,7.73,7.7,7.72,24900
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.77,7.77,7.72,7.73,13300
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,7.8,7.69,7.73,16700
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.69,7.74,7.69,7.72,21300
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.8,7.8,7.65,7.66,25700
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.72,7.72,7.61,7.66,63300
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.65,7.7,7.56,7.7,86600
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.66,7.7,7.63,7.64,10600
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.66,7.66,7.56,7.6,21900
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.63,7.63,7.59,7.6,17000
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.58,7.65,7.58,7.62,15200
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.54,7.54,7.47,7.5,15300
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.53,7.53,7.46,7.47,14300
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.48,7.52,7.48,7.5,5400
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.47,7.49,7.43,7.44,21900
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.47,7.51,7.47,7.49,15900
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.48,7.52,7.48,7.5,52900
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.47,7.5,7.47,7.5,10400
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.54,7.54,7.48,7.49,33100
