date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.57,7.57,7.51,7.55,20800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.57,7.61,7.53,7.58,22200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.6,7.6,7.53,7.53,1500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.51,7.6,7.51,7.53,25600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.56,7.59,7.54,7.54,63300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.49,7.56,7.49,7.5,35800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.5,7.52,7.44,7.45,29100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.43,7.47,7.43,7.43,35100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.46,7.47,7.43,7.44,28300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.42,7.44,7.38,7.38,42900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.38,7.39,7.33,7.34,45900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.34,7.34,7.25,7.27,47500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.3,7.3,7.23,7.27,28400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.34,7.37,7.29,7.31,26600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.34,7.35,7.27,7.31,7300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.35,7.36,7.26,7.32,20900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.42,7.42,7.37,7.4,16000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.43,7.43,7.36,7.36,18400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.39,7.5,7.39,7.48,43700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.52,7.55,7.49,7.49,14300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.51,7.61,7.51,7.57,35500
