date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.66,26.32,25.4,25.690001,267500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.77,25.120001,23.6,23.73,276300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.82,24.93,23.530001,24.190001,282400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.879999,25.030001,23.879999,24.34,154200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.16,24.5,23.959999,24.02,227600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.52,24.34,23.1,23.950001,233500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.76,24.18,23.389999,23.870001,138500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.57,23.610001,22.98,23.469999,229800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.790001,23.959999,22.719999,22.9,174000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.34,22.459999,21.790001,22.25,248400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.790001,22.559999,21.790001,22.17,161700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.42,22.57,22.030001,22.450001,175400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.620001,23.33,22.290001,23.07,240400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.52,25.610001,23.52,25.24,334300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.5,25.5,24.879999,24.92,224900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.450001,25.610001,24.610001,24.77,157700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.280001,25.290001,23.82,24.469999,235800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.780001,24.870001,23.85,24.1,174600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.25,24.52,23.98,24.190001,142600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.85,24.309999,23.459999,23.51,133700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.290001,23.940001,22.67,22.77,294600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.950001,23.459999,22.5,23.379999,183100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.84,23.5,22.629999,23.370001,166900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.98,23.16,22.360001,22.950001,177300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.860001,23.370001,22.440001,23.049999,196700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.120001,23.120001,22.24,22.75,338300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.870001,23.67,22.639999,23.65,224900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.879999,24.190001,23.43,23.99,164200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.99,24.92,23.99,24.719999,189300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.91,23.57,22.549999,22.9,256000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.360001,23.5,22.66,23.030001,318000
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.389999,24.52,23.01,24.51,277600
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.77,31.43,27.17,28,912100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.950001,27.950001,26.01,26.1,398400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.780001,26.309999,25.450001,26.23,296900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.030001,26.6,25.16,25.34,333700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.360001,26.33,24.879999,26.280001,186700
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.219999,26.5,25.459999,26,295800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.190001,26.280001,25.07,25.309999,200700
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.959999,25.6,24.93,25.41,302600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.09,26.639999,25.33,25.559999,446100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.549999,26.5,24.83,25.93,250100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.08,26.23,24.83,24.83,157800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.41,25.18,24.41,24.540001,129500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.700001,24.879999,24.25,24.690001,146100
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.08,25.43,24.82,25.309999,148500
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.709999,26.469999,25.42,25.799999,155400
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.59,25.83,24.879999,25.139999,103700
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.01,25.01,24.32,24.5,128900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.41,24.83,23.66,23.76,178900
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.5,23.559999,22.4,22.790001,238400
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.629999,23.379999,22.42,22.84,476600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.74,23.379999,22.370001,22.969999,339600
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.799999,23.790001,22.799999,23.450001,169800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.58,25.18,23.51,24.84,232100
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.889999,25.469999,24.76,25.139999,208900
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.24,26.24,24.91,25.26,150600
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.5,25.73,25.16,25.33,160500
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.48,25.59,25.110001,25.25,153100
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.610001,26.110001,25.42,26.040001,127300
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.99,26.360001,25.870001,26.08,235700
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.139999,26.139999,25.200001,25.799999,193600
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.25,25.629999,25.08,25.59,172000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.299999,25.77,25.16,25.68,156500
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.17,26.24,25.15,25.33,131000
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.08,25.48,24.700001,25.290001,97400
