date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.290001,25.5,25.27,25.299999,29000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.299999,25.368999,25.16,25.23,33300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.32,25.4,25.25,25.27,15000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.33,25.391001,25.221001,25.27,32700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.34,25.389999,25.26,25.35,17800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.379999,25.496,25.280001,25.299999,44000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.290001,25.419001,25.280001,25.33,163200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.360001,25.450001,25.309999,25.450001,15300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.530001,25.57,25.42,25.559999,195300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.540001,25.549999,25.48,25.530001,36200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.5,25.52,25.455,25.52,19100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.52,25.559999,25.4,25.42,12600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.48,25.610001,25.43,25.610001,8900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.59,25.768999,25.59,25.74,27700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.799999,25.799999,25.6,25.709999,15400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.85,25.91,25.73,25.860001,19500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26,26.378,25.93,26.1,38800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.030001,26.200001,25.982,26.049999,64300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.08,26.24,26.059999,26.1,68800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.18,26.24,26.01,26.08,36400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.120001,26.280001,25.959999,26.16,77200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.25,26.27,26.01,26.17,58100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.07,26.26,25.870001,25.91,48600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.91,26.040001,25.82,25.93,24800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.9,26.049999,25.82,25.85,29100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.959999,26.26,25.9,26.049999,41600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.120001,26.139999,25.809999,25.889999,30800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.98,26.059999,25.959999,25.959999,14700
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.049999,26.110001,25.85,25.9,21600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.77,25.809999,25.610001,25.629999,16600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.360001,25.57,25.360001,25.51,19400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.620001,25.889999,25.531,25.790001,16800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.780001,25.93,25.74,25.93,11600
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.93,26.030001,25.83,25.84,24500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.940001,25.940001,25.77,25.799999,18300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.92,25.92,25.77,25.77,12700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.85,25.950001,25.700001,25.719999,29600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.77,25.849001,25.701,25.701,6700
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.799999,25.799999,25.65,25.66,13300
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.77,25.91,25.68,25.690001,18600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.719999,25.9,25.719999,25.780001,25000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.84,25.9,25.6,25.66,26300
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.6,25.790001,25.575001,25.66,24000
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.74,25.75,25.6,25.719999,24800
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.780001,25.84,25.620001,25.700001,28400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.799999,25.85,25.629999,25.719999,14600
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.76,25.76,25.705,25.73,12300
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.790001,25.85,25.639999,25.73,24600
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.719999,25.74,25.625,25.68,25200
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.719999,25.719999,25.59,25.690001,23000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.73,25.73,25.49,25.57,27000
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.639999,25.719999,25.620001,25.65,27300
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.690001,25.780001,25.58,25.66,38000
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.66,25.870001,25.65,25.870001,16800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.879999,25.879999,25.624001,25.67,39200
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.75,25.938999,25.690001,25.709999,24000
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.860001,26.08,25.591,25.719999,30100
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.719999,25.76,25.6,25.690001,45100
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.709999,25.75,25.639999,25.719999,18200
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.77,25.77,25.625,25.73,52400
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.809999,25.83,25.5,25.65,36400
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.709999,25.790001,25.540001,25.620001,17700
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.559999,25.58,25.48,25.549999,28000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.549999,25.719999,25.506001,25.68,15400
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.74,25.85,25.667999,25.85,14300
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.879999,26.01,25.73,26,10200
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26,26,25.82,25.879999,24900
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.959999,25.979,25.809999,25.9,16100
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.799999,25.82,25.530001,25.790001,35500
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.82,25.82,25.528999,25.639999,19300
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.690001,25.690001,25.538,25.58,9500
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.58,25.58,25.07,25.16,26600
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.18,25.438999,25.075001,25.23,17900
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.360001,25.5,25.23,25.32,17300
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.41,25.416,25.301001,25.309999,22200
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.34,25.389999,25.212999,25.280001,59400
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.34,25.35,25.25,25.309999,18400
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.41,25.57,25.299999,25.299999,41200
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.33,25.389999,25.23,25.32,10700
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.25,25.309999,25.135,25.209999,11400
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.209999,25.299999,25.08,25.08,11900
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.139999,25.280001,25.101,25.23,10600
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.23,25.35,25.030001,25.030001,25700
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.16,25.23,25.049999,25.15,16100
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.23,25.41,25.09,25.41,20000
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.51,25.77,25.51,25.583,14700
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.700001,25.84,25.693001,25.84,21500
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.889999,25.889999,25.690001,25.780001,9800
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.780001,25.780001,25.41,25.469999,28700
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.530001,25.530001,25.25,25.370001,17800
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.440001,25.440001,25.209999,25.27,14500
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.32,25.559999,25.32,25.34,12900
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.09,25.16,24.969999,25.049999,24000
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.190001,25.190001,25.08,25.139999,22100
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.209999,25.219999,25.02,25.17,18200
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.17,25.200001,25.07,25.15,28500
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.18,25.249001,25.1,25.16,38900
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.280001,25.35,25.1,25.190001,24100
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.190001,25.25,25.07,25.15,13600
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.190001,25.190001,24.77,24.969999,35700
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.940001,25.190001,24.93,25.18,38000
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.129999,25.223,25.009001,25.129999,29600
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.129999,25.129999,24.98,25.07,23400
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.129999,25.34,25.1,25.280001,20400
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.379999,25.499001,25.27,25.27,24300
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.450001,25.605,25.370001,25.58,20500
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.639999,25.870001,25.575001,25.77,28500
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.85,25.860001,25.690001,25.780001,18900
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.75,25.83,25.731001,25.809999,15000
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.68,25.825001,25.6,25.799999,12300
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.780001,25.809999,25.65,25.73,28400
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.75,25.799999,25.620001,25.75,25500
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.85,26,25.825001,25.93,39800
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.969999,26.110001,25.75,26.049999,30700
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.07,26.129999,26.02,26.09,23400
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.09,26.1,25.983,26.040001,19500
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.08,26.190001,26.045,26.120001,15100
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.1,26.1,26.02,26.040001,17000
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.049999,26.18,26.049999,26.049999,33700
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.129999,26.15,26.059999,26.15,12000
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.16,26.200001,26.030001,26.110001,47800
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.09,26.120001,26.023001,26.1,19900
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.18,26.200001,26.08,26.08,10000
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.08,26.1,25.84,25.84,17100
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.950001,25.99,25.76,25.879999,19800
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.98,25.99,25.879999,25.93,21500
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.959999,26.1,25.9,26.059999,20400
Fri Jul 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.08,26.129999,26,26.120001,6700
Mon Jul 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.129999,26.129999,26,26.01,8900
Tue Jul 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.01,26.083,25.93,26,20800
Wed Jul 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.9,26.049,25.860001,26,26100
Thu Jul 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.16,26.200001,26.002001,26.190001,19300
Fri Jul 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.190001,26.23,26.15,26.23,10400
Mon Jul 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.24,26.459999,26.219999,26.41,28400
Tue Jul 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.440001,26.503,26.34,26.34,21100
Wed Jul 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.34,26.360001,26.290001,26.34,22000
Thu Jul 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.34,26.399,26.209999,26.27,24400
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.33,26.33,26.17,26.209999,25200
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.33,26.269899,26.17,26.209999,25179
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.33,26.269899,26.17,26.209999,25179
