date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.04,15.38,14.98,15.36,878600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.48,15.48,14.92,14.96,1021100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.99,14.99,14.82,14.82,754900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.71,15.01,14.71,14.8,687500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.85,15.04,14.82,15.02,645800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.83,15,14.78,14.91,834000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.85,15.01,14.79,14.8,760400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.8,14.84,14.63,14.83,627800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.06,15.07,14.77,14.81,537100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.61,14.68,14.28,14.28,1059900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.11,14.43,14.06,14.39,946400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.4,14.41,14.15,14.31,1300400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.35,14.45,14.17,14.41,979900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.49,14.67,14.46,14.64,845700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.76,14.85,14.61,14.78,766700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.88,14.88,14.42,14.51,850200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.63,14.89,14.61,14.8,749200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.94,14.98,14.81,14.81,690400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.83,15,14.77,14.96,759400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.87,15,14.84,14.95,752800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.99,15,14.56,14.58,686700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.58,14.86,14.58,14.86,788400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.72,14.91,14.68,14.78,687300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.62,14.62,14.33,14.35,550500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.37,14.76,14.36,14.73,726200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.77,14.78,14.56,14.63,761300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.61,14.77,14.51,14.73,773000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.69,14.73,14.52,14.63,649000
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.65,15.07,14.65,14.96,1223600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.69,14.73,14.31,14.56,1541900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.52,14.9,14.51,14.84,653200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.97,15.35,14.88,15.34,1004200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.18,15.39,15.07,15.26,922300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.17,15.33,14.98,15.1,1026900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.12,15.31,15.05,15.19,1010900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.36,15.66,14.1,15.29,2676500
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.37,15.94,15.31,15.75,1774400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.68,16.030001,15.45,15.96,1397400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.120001,16.280001,16.02,16.26,1076200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.139999,16.309999,16.030001,16.280001,707600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.360001,16.43,16.129999,16.209999,1014100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.15,16.299999,16.110001,16.15,684100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.129999,16.26,16.120001,16.209999,835800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.139999,16.27,16.09,16.24,1078300
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.280001,16.440001,16.1,16.209999,1085300
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.25,16.41,16.190001,16.4,1006600
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.440001,16.559999,16.360001,16.51,763100
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.5,16.68,16.450001,16.549999,996100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.530001,17.139999,16.51,17.08,1255000
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.120001,17.639999,17.059999,17.58,2223200
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.540001,17.690001,17.27,17.450001,1065900
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.32,17.610001,17.32,17.379999,2516300
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.360001,17.790001,17.35,17.76,1204700
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.77,17.940001,17.719999,17.82,1359800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.860001,18.15,17.809999,18.030001,1238500
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.049999,18.309999,17.98,18.200001,2025100
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.24,18.49,18.17,18.18,1578200
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.25,18.389999,18.17,18.35,1547200
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.459999,18.459999,18.139999,18.139999,1028000
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.23,18.34,18.15,18.190001,918600
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.190001,18.379999,18.110001,18.209999,894900
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.280001,18.299999,18.049999,18.219999,789100
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.040001,18.290001,18.02,18.209999,923800
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.889999,18.18,17.73,18.059999,1286600
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.23,18.290001,17.799999,17.940001,853900
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.9,18.02,17.700001,17.92,717900
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.85,18,17.809999,17.969999,549800
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.049999,18.049999,17.709999,17.9,744300
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.57,17.799999,17.459999,17.73,775100
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.73,17.84,17.629999,17.76,574100
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.68,17.75,17.41,17.57,734300
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.620001,17.690001,17.389999,17.51,838300
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.42,17.57,17.27,17.549999,1166000
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.66,17.860001,17.6,17.809999,1103900
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.85,18.17,17.82,18.120001,1372200
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.09,18.469999,18.030001,18.43,798300
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.459999,18.639999,18.4,18.610001,1241800
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.6,18.860001,18.559999,18.74,1119500
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.639999,19.02,18.52,18.85,1048200
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.75,18.93,18.66,18.85,888800
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.83,19.01,18.809999,18.950001,525700
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.940001,19.01,18.82,18.969999,1106700
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.92,19.01,18.809999,18.870001,1108300
