date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.36,3.58,3.31,3.38,691400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.37,3.38,3.17,3.18,466700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.23,3.31,3.11,3.22,388400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.22,3.03,3.17,386200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.13,3.275,3.07,3.23,445300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.15,3.305,3.12,3.22,267300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.29,3.145,3.19,350600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.16,3.28,3.01,3.26,686700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.26,3.31,2.955,3.05,556900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.01,3.045,2.785,2.79,536600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.77,2.84,2.665,2.83,648800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.8,2.96,2.75,2.85,771600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.88,2.9,2.65,2.76,443600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.77,3.01,2.705,3.01,438000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.06,3.225,3.035,3.19,1271700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.24,3.4,3.185,3.29,887900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.42,3.18,3.24,468600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.29,3.34,3.19,3.2,641100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.21,3.21,3.13,3.19,971800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.15,3.37,3.05,3.29,694400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.29,3.655,3.29,3.44,494500
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.44,3.45,3.2,3.41,627700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.33,3.54,3.21,3.49,786100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.44,3.6,3.35,3.53,618200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.59,3.935,3.455,3.79,2718100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.8,3.82,3.32,3.325,873200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.35,3.44,3.23,3.38,676700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.38,3.65,3.38,3.6,701600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.6,3.915,3.6,3.9,739700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.75,3.75,3.49,3.64,820300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.75,3.875,3.64,3.71,607000
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.76,3.825,3.59,3.7,529300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.6,3.69,3.53,3.66,458300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.66,3.71,3.485,3.51,413500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.57,3.61,3.3,3.34,457900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.34,3.36,3.19,3.22,403100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.23,3.285,3.19,3.25,321800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.465,3.187,3.46,387800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.48,3.82,3.48,3.77,693200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.77,3.89,3.69,3.72,575800
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.79,4.05,3.71,3.96,641400
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.99,4.27,3.925,4.13,686800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.15,4.18,3.68,3.685,715300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.65,3.75,3.4,3.48,760600
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.48,3.775,3.48,3.59,829500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.62,3.63,3.38,3.43,597200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.57,4.08,2.86,4.07,2671500
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.08,4.17,3.35,3.41,2123900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.46,3.46,3.115,3.17,2253800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.19,3.41,3.14,3.41,1012500
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.38,3.38,3.04,3.24,780500
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.18,3.44,3.17,3.22,934600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.275,3.05,3.06,487500
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.04,3.1,2.89,2.91,522600
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.88,3.08,2.8,2.97,915500
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3.181,2.95,3.04,745500
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.06,3.175,3.02,3.11,498400
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.09,3.21,3.04,3.04,563100
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.09,3.12,2.81,2.81,625700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.9,3.15,2.81,3.08,671100
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.1,3.24,3.02,3.19,698400
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.29,3.35,3.03,3.1,608700
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.01,3.04,2.865,2.9,424400
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.9,3.1,2.88,3.06,448400
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.06,3.22,3.04,3.07,381800
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.04,3.17,2.96,2.99,438100
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.05,3.05,2.92,2.97,420300
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.99,3.02,2.88,3.01,397400
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.93,2.93,2.765,2.79,518300
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.82,2.915,2.75,2.91,332800
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.92,2.92,2.66,2.73,348500
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.71,2.71,2.415,2.43,616700
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.12,2.21,1.87,2.03,1443100
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.03,2.08,1.91,2.04,976900
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.05,2.16,2,2,518800
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2,2.07,1.95,2.02,641400
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.03,2.16,2.003,2.155,553800
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.16,2.27,2.12,2.16,423000
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.13,2.17,2.02,2.07,456300
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.03,2.08,1.98,2.05,283200
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.03,2.135,2.03,2.13,461300
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.15,2.33,2.12,2.32,328000
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.29,2.5,2.27,2.42,560400
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.69,3,2.685,2.77,2855600
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.86,2.97,2.73,2.79,1355800
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.83,2.99,2.82,2.87,549800
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.89,3,2.81,2.83,546700
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.85,2.93,2.801,2.92,385800
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.9,2.91,2.68,2.71,359600
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.74,2.755,2.61,2.71,417800
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.74,2.785,2.592,2.645,368700
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.67,2.84,2.67,2.81,238900
