date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.99,18.26,17.99,18.26,157200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.26,18.42,18.129999,18.42,182200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.309999,18.51,18.209999,18.440001,123100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.35,18.6,18.35,18.559999,106200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.51,18.77,18.51,18.73,164100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.75,18.76,18.5,18.59,183300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.66,18.66,18.52,18.610001,143300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.66,18.66,18.42,18.549999,180300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.6,18.65,18.51,18.559999,109400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.51,18.51,18.040001,18.08,222800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.139999,18.139999,17.9,18.08,265400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.17,18.18,17.93,18.030001,181600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.209999,18.209999,17.879999,18.209999,657500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.299999,18.48,18.26,18.450001,172500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.530001,18.549999,18.379999,18.440001,258900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.440001,18.58,18.436001,18.530001,188400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.629999,18.66,18.48,18.52,202300
