date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.89,15.89,15.452,15.62,736900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.52,15.52,14.93,14.99,709500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.94,15.02,14.72,14.76,796600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.7,15.315,14.57,14.87,969300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.04,15.16,14.66,14.94,998800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.82,15.36,14.59,15.12,885400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.09,15.09,14.67,14.8,539800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.73,14.82,14.44,14.49,801700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.59,14.65,14.17,14.32,543400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.21,14.23,13.66,13.72,853100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.52,13.61,13.39,13.47,706100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.49,13.58,13,13.42,1137600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.53,13.545,13.1,13.44,781600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.5,13.82,13.27,13.36,886800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.44,13.52,13.065,13.14,730000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.25,13.33,12.92,12.96,886100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.09,13.48,12.85,13.48,1127600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.63,14.12,13.57,14,1305300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.07,14.34,13.86,14.27,658600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.21,14.365,14,14,395300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.05,14.09,13.7,13.74,544400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.8,14.1,13.565,14.09,637900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.99,14,13.57,13.74,519100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.56,13.65,13.18,13.21,619600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.2,13.75,13.15,13.53,621600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.63,13.73,13.25,13.3,908400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.37,14.05,13.36,14.04,581800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.05,14.18,13.97,14.14,677200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.07,14.27,14.02,14.03,504100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.6,13.83,13.03,13.15,863400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.32,13.47,13.13,13.4,381800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.46,14,13.44,13.98,515800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.88,14.29,13.76,14.18,706300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.08,14.16,13.68,13.78,574900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.71,13.76,13.31,13.45,448600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.45,13.65,13.208,13.32,527500
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.47,13.5,13.24,13.45,558800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.43,13.97,13.36,13.75,1551600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.93,16.17,14.66,15.9,2239500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.92,15.92,15.111,15.37,1289700
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.61,15.089,14.37,14.53,3713500
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.57,14.85,14.21,14.26,1138900
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.26,14.35,13.89,13.95,830600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.87,14.075,13.67,13.91,807400
