date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.080002,76.540001,74.959999,75.860001,687700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.699997,75.699997,73.389999,73.57,657100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.669998,73.669998,69.489998,72.32,1100400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.18,71.660004,69.110001,69.419998,1034400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.5,72.110001,69.120003,70.699997,1210100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.830002,74.129997,69.519997,73.089996,1493500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.790001,73.300003,70.779999,71.760002,669400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.900002,72.610001,70.529999,72.209999,621400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73,73,70.879997,71.889999,576200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.860001,74.160004,71.230003,73.010002,731400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.669998,74.690002,71.620003,74.650002,785700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75,76,74.400002,75.300003,698800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.650002,75.849998,74.199997,74.970001,465100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75,77.629997,75,76.93,665100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.739998,78.419998,76.480003,77.800003,510000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.669998,78.669998,76.160004,76.970001,431200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.690002,78.290001,76.730003,77.75,481200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.190002,78.290001,76.410004,76.440002,511400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.300003,76.800003,74.209999,76.709999,919400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.879997,76.5,74.849998,75.919998,412400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.870003,75.919998,73.269997,73.480003,651200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.129997,76,73.139999,75.699997,443200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.669998,74.699997,72.610001,74.059998,815700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.199997,73.5,70.779999,72.010002,845600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.43,74.57,70.839996,74.110001,714200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.230003,74.559998,73.190002,73.690002,394900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.900002,75.360001,73.389999,73.660004,666900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.43,74.220001,72.370003,72.489998,595500
