date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.05,5.26,5.02,5.19,264700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.15,5.19,5.06,5.08,140400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.12,5.13,5.02,5.05,200800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.02,5.09,5,5.06,252300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.07,5.09,4.99,5.01,167700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.98,5,4.89,4.94,116800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.95,4.95,4.72,4.81,201600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.81,4.81,4.61,4.71,246700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.75,4.79,4.66,4.67,158100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.63,4.672,4.53,4.6,153700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.52,4.619,4.515,4.56,121100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.63,4.63,4.52,4.59,86700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.64,4.64,4.53,4.58,117800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.62,4.72,4.61,4.65,173700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.65,4.68,4.615,4.65,105700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.7,4.74,4.54,4.58,149100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.65,4.66,4.52,4.59,158000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.63,4.66,4.525,4.54,72800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.52,4.66,4.52,4.64,233700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.61,4.67,4.61,4.66,46400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.67,4.86,4.645,4.7,162300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.73,4.99,4.69,4.97,195000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.92,4.962,4.79,4.79,195400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.75,4.79,4.6,4.63,122600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.7,4.7,4.61,4.66,80600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.72,4.72,4.62,4.66,58100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.68,4.68,4.585,4.605,72000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.6,4.685,4.6,4.67,66800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.68,4.935,4.68,4.91,100000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.83,4.9,4.69,4.7,137100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.71,4.94,4.69,4.9,118700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.98,4.98,4.32,4.5,438000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.44,4.55,4.34,4.46,228000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.51,4.53,4.42,4.48,270000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.46,4.57,4.4,4.51,122300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.5,4.58,4.46,4.5,141900
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.45,4.477,4.39,4.44,85000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.42,4.42,4.23,4.26,158900
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.31,4.39,4.2,4.33,50500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.3,4.33,4.18,4.25,86300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.33,4.33,4.26,4.29,69700
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.29,4.31,4.17,4.2,54700
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.26,4.26,4.05,4.06,198400
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.06,4.1,3.9,4.1,206800
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.14,4.17,4.09,4.15,71600
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.19,4.201,4.1,4.13,55100
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.29,4.12,4.27,74000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.26,4.428,4.13,4.16,68800
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.16,4.17,4.11,4.155,62000
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.18,4.058,4.11,108900
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.16,4.16,3.97,4.03,108800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.99,4.22,3.98,4.13,221800
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.12,4.21,4.11,4.16,64000
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.265,4.13,4.22,76000
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.2,4.31,4.15,4.28,119600
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.23,4.35,4.23,4.32,130900
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.34,4.34,4.3,4.32,74700
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.34,4.35,4.24,4.32,84300
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.21,4.35,4.21,4.32,102300
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.32,4.35,4.3,4.34,191300
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.32,4.43,4.32,4.37,79400
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.41,4.41,4.3,4.38,357800
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.34,4.35,4.21,4.21,103600
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.22,4.23,4.11,4.21,152500
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.17,4.23,4.09,4.11,120400
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.13,4.13,4.04,4.05,98400
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.1,4.1,4.04,4.05,108500
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.09,4.09,4.01,4.02,44400
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.95,3.98,3.89,3.97,145200
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.97,4.02,3.93,3.95,67600
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.94,3.97,3.81,3.84,87800
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.78,3.88,3.78,3.78,76100
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.79,3.79,3.69,3.71,90800
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.71,3.73,3.59,3.61,246200
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.62,3.62,3.47,3.48,309000
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.47,3.505,3.42,3.46,241100
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.56,3.75,3.45,3.75,403500
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.8,3.895,3.69,3.85,215200
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.82,3.89,3.785,3.84,129800
