date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.825,4.939,4.748,4.835,6800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.825,5.33,4.38,4.68,59800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.793,5.094,4.515,4.66,10100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.8,5.031,4.51,4.668,10400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.93,4.985,4.47,4.7,6400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.7,4.72,4.537,4.65,10300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.65,4.913,4.65,4.76,2000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.52,4.72,4.39,4.61,8800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.84,4.84,4.26,4.441,4300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.41,4.562,3.95,4.1,25600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.95,4.17,3.675,3.9,67600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4,4.045,3.676,3.98,2300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.82,3.963,3.66,3.75,10900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.922,3.98,3.75,3.881,12200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.904,3.935,3.85,3.907,5500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.838,3.98,3.663,3.79,10300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.95,3.95,3.74,3.74,2100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.74,3.75,3.51,3.62,8000
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.75,3.861,3.55,3.7,30900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.6,3.774,3.52,3.758,20500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.645,3.73,3.55,3.57,9000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.57,3.62,3.45,3.45,15200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.344,3.46,3.23,3.3,11000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.31,3.56,3.31,3.46,16800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.52,3.52,3.305,3.305,8500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.45,3.472,3.31,3.34,12700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.35,3.41,3.2,3.35,13000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.5,3.52,3.35,3.36,11500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.38,3.39,3.251,3.31,11100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.1,3.22,2.93,2.99,21500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.95,2.99,2.925,2.98,15700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.81,2.93,2.703,2.79,15800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.792,2.792,2.74,2.76,9100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.7,2.987,2.7,2.82,6900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.855,2.88,2.8,2.86,4100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.93,2.93,2.62,2.64,12600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.65,2.842,2.251,2.58,31900
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.704,2.704,2.674,2.69,5000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.69,2.75,2.65,2.66,8100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.72,2.8,2.61,2.61,9900
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.57,2.801,2.57,2.75,9600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.695,2.8,2.695,2.77,9600
