date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.81,6.92,6.62,6.7,5054200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.57,6.64,6.36,6.5,6244500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.15,10.03,7.045,9.3,110024400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.27,9.43,8.31,8.7,48032600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.66,9.15,8.31,8.83,23359600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.72,9.66,8.46,8.53,32874600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,8.74,8.13,8.3,13540200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.28,8.32,7.86,8.1,11109700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.83,7.935,7.28,7.37,16573400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.21,7.35,6.93,6.97,11885100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.76,6.83,6.56,6.65,10152000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.78,6.801,6.4,6.61,9409900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.55,6.62,6.35,6.55,6832800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.59,7.05,6.56,6.92,11234300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.07,7.27,6.88,7.03,8571600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.18,7.24,6.61,6.65,7382500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.61,6.757,6.51,6.65,5682300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.7,6.84,6.61,6.63,4016900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.66,7.24,6.56,7.18,13099100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.1,7.155,6.96,7.04,5678000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7,7.26,6.8,6.81,7949000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.91,7.04,6.75,6.97,6047500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.89,7,6.76,6.94,4111000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.83,6.905,6.56,6.76,6201000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.78,7.4,6.74,7.39,6739400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.39,7.45,7.115,7.29,5168800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.29,7.62,7.245,7.5,6449700
