date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.51,1.555,1.35,1.35,26700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.35,1.3084,1.35,6600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.335,1.5708,1.335,1.56,12300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.58,1.58,1.3607,1.54,22000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5501,1.7953,1.55,1.7,29100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5961,1.81,1.5961,1.81,5300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.6361,1.8499,1.62,1.79,11000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.765,2.21,1.6,2.18,60900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.0201,2.1873,1.8004,2.0101,44200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.08,2.1479,1.9001,1.95,7200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.9,2.03,1.8168,1.99,7200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.92,1.975,1.86,1.86,6000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.96,1.98,1.82,1.91,4300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.81,1.86,1.69,1.69,12800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.5795,1.4,1.5722,36400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.58,1.78,1.45,1.46,16600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.6991,1.44,1.55,8400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.69,1.46,1.55,8800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.52,1.6,1.51,1.51,2900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.4801,1.59,1.48,1.55,6300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.55,1.59,1.55,1.5501,5300
