date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.03,5.03,4.384,4.79,2000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.79,4.79,4.73,4.75,700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.8,5.04,4.51,5.04,6500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.06,5.07,4.5,5.07,9900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.05,5.09,4.805,5.02,9400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.09,5.09,4.55,4.55,4800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.73,4.97,4.41,4.97,18300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.52,4.88,4.2,4.69,4600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.52,4.97,4.234,4.62,3600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.69,4.69,4.28,4.28,1300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.3,4.3,4.11,4.11,2700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.37,4.37,4.37,4.37,800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.96,4.18,3.95,4.18,1200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.143,4.143,3.57,3.57,2900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.095,4.095,3.664,3.664,1800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.14,5.57,4.14,5.22,85300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.2,6.155,5.01,5.7,64600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.669,5.68,5.13,5.3,13800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.16,5.48,5.13,5.39,8000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.5,5.78,5.2,5.45,8400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.16,5.74,5.16,5.68,3100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.44,6.82,5.44,6.82,13600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.66,7.17,5.9,7.17,21100
