date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.860001,67.760002,66.540001,67.730003,720500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),67.360001,67.360001,65.559998,65.760002,908200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.459999,65.989998,65.220001,65.580002,1536600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.349998,65.730003,64.57,65,1718800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.239998,65.239998,64.559998,65,1803200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.290001,64.730003,63.970001,64.529999,1835100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.389999,64.849998,64.330002,64.459999,1765000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.099998,64.43,63.740002,64.18,1156300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.879997,65.07,63.810001,64.07,1531600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.66,63.970001,63.060001,63.330002,1459000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.75,63.580002,62.130001,62.470001,1146700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.389999,62.580002,61.619999,62.299999,1371500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.630001,62.950001,61.790001,62.73,1282600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.060001,63.810001,62.790001,62.970001,980300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.299999,63.380001,62.66,63.029999,1336300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.630001,63.849998,62.09,62.209999,1299200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.560001,64,62.77,63.970001,1361700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.25,64.290001,63.529999,63.599998,1037400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.400002,63.57,62.880001,63.5,815400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.529999,63.630001,63,63.18,1039300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.360001,63.759998,62.470001,62.669998,1242400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.669998,63.669998,62.099998,63.650002,1400000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.970001,63,61.830002,62.599998,1128200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.830002,61.919998,61.110001,61.23,1179500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.209999,62.689999,61.02,62.209999,1060900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.25,62.43,61.799999,61.939999,919700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.709999,62.509998,61.610001,62.139999,1360800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.099998,62.09,60.009998,61.32,2364400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.419998,61.779999,60.34,60.700001,1864200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),59.549999,60.43,58.759998,60.419998,2251300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.459999,60.93,59.68,60.189999,1231800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.939999,61.400002,60.849998,61.240002,719100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.720001,61.18,60.27,60.810001,809500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.709999,61.32,60.369999,60.619999,947600
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.98,61.419998,60.580002,61.220001,819200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.200001,61.279999,60.68,61.07,1022100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.91,61.110001,60.720001,60.73,662000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.57,60.799999,60.060001,60.23,841100
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.5,61.110001,60.349998,60.529999,1183600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.009998,61,60.009998,60.970001,875200
