date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15,15.99,14.97,15.3,1373
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.09,16.440001,14.43,14.55,8757
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.7,15.3,14.64,15.27,593
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.73,15.3,14.7,14.7,737
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.7,14.7,14.34,14.7,1270
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15,15,14.1,14.1,2930
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.43,14.7,13.8,14.1,773
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.8,14.19,13.8,14.1,1247
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.8,14.67,13.77,14.22,1003
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.1,14.1,12.3,12.48,3233
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.6,14.1,12.33,13.08,2883
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.9,13.2,12.33,12.9,547
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.9,13.14,12.42,12.42,173
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.84,14.37,12.33,12.6,1673
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.63,13.62,8.31,9.9,82763
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.2,14.94,9.75,11.82,111027
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.2,13,8.81,10.4,73700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10,10,8.25,9.866,69700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.639999,25.26,12.3,12.99,5398000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.63,11.977,7.54,7.95,437800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.12,11.9,7.604,8.8,2024900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.54,3.64,3.03,3.18,2552700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.12,3.24,2.85,3.045,616800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.1,3.34,2.775,3.2,701200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.29,2.43,2.6,718400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.62,2.66,2.4,2.58,626400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.61,2.9,2.51,2.78,397800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.8,3.05,2.622,2.78,901700
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.83,2.87,2.57,2.76,254400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.8,3.23,2.79,3,1036700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.94,3.169,2.94,3,220900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.01,3.087,2.77,3.02,145200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.03,3.03,2.68,2.77,118100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.75,3,2.707,2.83,156000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.91,3.35,2.85,3.15,1624500
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.16,3.188,2.83,2.89,461100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.9,3.04,2.77,2.8,213100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.78,3.22,2.75,3.16,372000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.16,3.48,3.03,3.43,340800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.46,4.34,3.4,4.12,875900
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.01,4.083,3.6,3.65,503400
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.61,3.74,3.37,3.64,281500
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.67,3.67,3.21,3.41,224300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.27,3.43,3.16,3.19,188300
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.34,3.34,2.97,3,145900
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.06,3.52,3.04,3.4,391800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.48,3.61,3.3,3.4,141400
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.65,3.65,3.35,3.36,256200
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.36,3.36,2.87,3.12,440300
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,2.98,2.56,2.6,329900
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.7,2.735,2.281,2.36,222200
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.44,2.528,2.38,2.41,73000
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.5,2.5,2.33,2.39,65600
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.37,2.37,2.22,2.28,76300
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.32,2.45,2.25,2.43,52200
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.47,2.5,2.4,2.45,54700
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.4,2.45,2.35,2.37,27600
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.39,2.4,2.335,2.39,28300
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.44,2.63,2.4,2.6,106300
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.6,2.62,2.36,2.43,93800
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.47,2.96,2.4,2.74,317900
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.71,2.77,2.595,2.66,33900
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.71,2.71,2.53,2.59,71800
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.55,2.66,2.53,2.6,34800
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.6,2.835,2.6,2.72,45900
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.76,2.84,2.58,2.67,32100
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.7,2.79,2.59,2.6,26200
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.62,2.645,2.42,2.43,42400
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.45,2.49,2.28,2.31,51000
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.36,2.52,2.31,2.32,24500
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.32,2.32,2.05,2.08,56400
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.14,2.23,1.78,1.825,94000
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.88,1.99,1.805,1.91,38200
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.895,2.17,1.88,2.15,126800
