date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.1,18.280001,17.91,17.969999,296600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.9,17.9,17.334999,17.370001,206600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.41,17.41,16.809999,16.84,223900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.780001,17.42,16.610001,17.1,754000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.200001,17.51,17.110001,17.43,298100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.200001,17.389999,17.02,17.33,186800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.299999,17.450001,17.08,17.209999,147300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.18,17.34,16.84,17.32,274800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.6,17.6,17.370001,17.41,235100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.33,17.450001,17.15,17.43,130400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.18,17.379999,17.18,17.290001,151600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.4,17.559999,17.309999,17.51,154300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.629999,17.73,17.23,17.450001,135700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.620001,17.754999,17.540001,17.73,142900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.969999,17.969999,17.35,17.360001,272000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.549999,17.74,17.370001,17.440001,264800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.59,17.98,17.485001,17.959999,575000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.969999,18.09,17.889999,18.030001,194900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.57,20.17,18.780001,20.110001,998300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.27,20.67,19.75,20.02,836700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.07,20.17,19.405001,19.52,600600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.700001,20.1,19.27,19.469999,581700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.42,19.68,19.209999,19.389999,527100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.389999,20.02,19.299999,19.549999,642500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.549999,19.549999,18.93,19.450001,817700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.48,19.780001,18.99,19.549999,834300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.540001,16.9,16.264999,16.57,625800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.59,17.33,16.49,17.33,788800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.26,17.639999,17.25,17.49,517800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.065001,17.110001,16.74,16.860001,371600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.25,17.73,16,17.700001,1075300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.709999,18.32,17.049999,18.26,6002400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.299999,19.59,18.16,19.34,2846500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.059999,19.52,18.85,19.1,1417500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.940001,19.309999,18.67,19.290001,1036000
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.51,19.9,19.275,19.450001,777100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.450001,19.99,19.290001,19.969999,719400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.9,19.924,19.290001,19.620001,551700
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.809999,19.969999,19.51,19.620001,616600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.6,20.445,19.6,20.280001,944100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.48,20.690001,20.290001,20.639999,612200
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.75,21.129999,20.469999,20.780001,545000
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.92,21.24,20.77,21.02,441800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.84,21.33,20.75,20.76,678500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.5,20.120001,18.5,19.959999,1338600
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.040001,20.115,18.85,19.389999,878400
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.469999,19.639999,18.25,18.66,782200
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.65,18.85,18.17,18.4,598600
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.469999,18.610001,18.25,18.6,626800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.780001,19.219999,18.73,19.190001,849200
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.32,19.030001,17.76,18.58,4977100
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.4,19.07,18.4,18.58,1619500
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.49,18.74,18.219999,18.540001,1413800
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.540001,18.809999,18.52,18.780001,693800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.6,18.99,18.129999,18.82,1079900
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.92,19,18.52,18.85,1066100
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.91,19.040001,18.542999,18.58,390900
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.559999,18.715,18.51,18.59,515600
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.73,19.879999,18.67,19.719999,1462800
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.799999,20.65,19.719999,20.629999,965900
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.620001,22.299999,20.525,22.09,1997600
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.09,22.32,21.594999,21.93,1198200
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.83,22.540001,21.809999,22.389999,976000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.120001,22.57,22.09,22.41,597200
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.6,23.58,22.6,23.030001,2738500
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.33,23.85,23.139999,23.540001,1482100
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.52,23.67,22.983999,23.200001,887400
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.309999,23.540001,22.851999,23.41,745900
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.030001,23.57,22.58,22.91,1221900
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.99,23.219999,22.67,23.030001,825100
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.790001,23.110001,22.219999,22.459999,694000
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.690001,22.860001,21.969999,22.1,681400
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.059999,22.204,21.559999,21.6,748000
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.860001,21.92,21.129999,21.24,560900
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.32,21.440001,21.1,21.15,515200
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.059999,21.26,20.51,21.209999,744500
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.25,21.690001,20.860001,21.58,781400
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.700001,22.35,21.67,21.799999,1063700
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.889999,22.059999,21.745001,21.91,522800
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.75,21.940001,21.469999,21.75,464300
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.77,22.040001,21.18,21.24,478100
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.4,21.639999,21.129999,21.549999,621300
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.42,22.02,21.42,21.860001,948500
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.84,22.290001,21.43,21.91,816300
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.280001,23.09,22.09,23.08,777700
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.23,23.629999,22.9,23.25,632700
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.559999,25.173,23.719999,23.92,1141000
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.84,24.34,23.83,24.17,507100
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.059999,25.139999,24.049999,25.030001,1048300
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.09,26.57,25.09,26.34,1323800
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.389999,26.77,25.950001,26.6,903000
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.76,26.940001,25.129999,25.219999,793800
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25,25.42,24.790001,25.24,418900
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.389999,26.01,25.389999,26,426700
