date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.09,2.09,2.075,2.075,2700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.076,2.085,2,2.01,9100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.12,2.025,2.12,5700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.036,2.11,2.028,2.07,1600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.042,2.092,2.042,2.092,800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.05,2.09,2.01,2.06,8400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.08,2.08,2.05,2.05,1500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.03,2.08,2.03,2.07,8400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.08,2.105,2.07,2.08,6400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.089,2.15,2.089,2.11,13900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.34,2.1,2.29,15900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.258,2.258,2.2,2.2,2300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.15,2.25,2.15,2.2,4700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.2,2.2,2.2,2.2,400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.18,2.27,2.17,2.27,4200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.326,2.326,2.326,2.326,900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.242,2.242,2.21,2.21,1800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.271,2.271,2.217,2.255,2200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.22,2.34,2.21,2.277,5200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.28,2.28,2.22,2.27,2000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.27,2.3,2.21,2.21,11200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.21,2.21,2.07,2.094,1300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.07,2.09,2.07,2.09,800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.09,2.09,2.09,2.09,300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.115,2.12,2.115,2.12,400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.11,2.122,2.11,2.122,500
