date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.16,9.24,9.07,9.09,143700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.04,9.05,8.87,8.9,87600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.9,9.06,8.9,9,117400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.99,9.05,8.9,8.93,65100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.95,9.16,8.93,9.09,134100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.13,9.13,8.9,8.95,135300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.95,8.97,8.82,8.97,159900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.97,8.97,8.82,8.87,139200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.9,8.97,8.89,8.95,82700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.88,8.95,8.76,8.77,190400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.71,8.8,8.65,8.76,128100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.8,8.87,8.74,8.84,92400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.91,8.91,8.77,8.88,90100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.97,9.06,8.97,9.06,115200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.15,9.18,9.06,9.1,114600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.17,9.19,9.03,9.03,155400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.15,9.17,9.07,9.12,73900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.17,9.21,9.08,9.11,80400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.13,9.17,9.12,9.17,122700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.17,9.19,9.16,9.19,100900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.17,9.18,9.01,9.01,158400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.06,9.09,8.96,9.09,140600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.02,9.04,8.93,9.01,157600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.89,8.95,8.84,8.95,118600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.92,9.03,8.91,9.02,97300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.04,9.1,9,9.08,74500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.09,9.18,9.05,9.16,66800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.21,9.25,9.16,9.25,81100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.25,9.39,9.25,9.38,101000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.22,9.22,9.04,9.08,126800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.15,9.28,9.13,9.27,98200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.3,9.47,9.27,9.44,147500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.43,9.5,9.37,9.4,124400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.38,9.43,9.23,9.24,77100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.19,9.19,9.1,9.16,69700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.18,9.26,9.14,9.15,104700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.19,9.23,9.16,9.17,78900
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.17,9.26,9.17,9.23,87900
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.3,9.38,9.3,9.32,97500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.3,9.32,9.24,9.26,72700
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.34,9.37,9.31,9.33,76700
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.37,9.46,9.36,9.42,125300
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.4,9.49,9.4,9.47,130100
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.45,9.46,9.32,9.35,114200
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.43,9.48,9.37,9.43,125300
