date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43,43.400002,41.970001,42.439999,239600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.540001,42.540001,40.759998,40.900002,327700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.380001,41.490002,40.369999,40.43,373500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.189999,41.139999,40.189999,40.5,399200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.200001,41.200001,40.349998,41.080002,228900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.57,41.040001,39.790001,40.990002,163200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.98,41.450001,40.830002,41.209999,144400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.040001,41.400002,40.779999,41.330002,229700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.84,41.919998,41.299999,41.900002,140600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.57,41.84,41.110001,41.43,293300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.860001,42.040001,40.851002,42,233600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.07,42.790001,41.950001,42.790001,262300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.130001,43.32,42.16,42.560001,401600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.860001,43.259998,42.57,43.169998,201400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.540001,43.616001,40.849998,41.860001,255600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.389999,42.52,41.75,42,316500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.400002,43.369999,42.25,43.310001,195800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.57,43.810001,43.055,43.400002,150100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.470001,44.610001,43.240002,44.610001,206600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.25,44.959999,44.195,44.93,204100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45,46.139999,44.700001,45.5,654500
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.700001,47.279999,45.404999,47.240002,427900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.799999,49.150002,46.509998,48.759998,453900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.66,48.73,46.419998,47.27,291100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.200001,48.009998,46.939999,47.939999,331500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.32,50.16,47.959999,49.720001,461300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.759998,50.700001,49.41,50.349998,410100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.869999,50.25,44.77,46.810001,656900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.240002,47.59,45.240002,47.490002,555400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.700001,47.23,45.220001,45.369999,562100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.77,47.970001,45.619999,47.709999,437600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.950001,48.189999,46.310001,46.860001,412500
