date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),278.769989,282.48999,278.179993,281.429993,184300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),279.369995,282.26001,278.5,279.130005,185200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),279.839996,281.649994,275.23999,275.609985,217300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),274.130005,278.459991,273.880005,277.640015,352800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),277.98999,284.859985,274.559998,284.359985,236800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),282.589996,282.589996,276.820007,277.48999,190600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),276.559998,277.76001,275.01001,277,189300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),277.48999,280.920013,276.399994,280.820007,229900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),281.75,282.829987,278.769989,281.970001,133800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),281.079987,281.480011,278.589996,278.589996,243800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),275.959991,280.089996,275,278.850006,130100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),280.670013,281.51001,279.200012,280.290009,166800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),280.920013,280.920013,276.700012,278.839996,164700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),278.470001,283.399994,278.130005,283.369995,231700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),285,286.690002,280.769989,281.579987,212300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),283.109985,284.029999,280.019989,280.980011,163900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),281.48999,283.820007,280,280.410004,171400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),281.359985,283.720001,279.549988,281.290009,131200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),281.76001,284.920013,279.859985,284.839996,165600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),283.170013,291.049988,283.170013,290.75,153000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),291.190002,291.450012,283.829987,285.420013,299900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),286.390015,290.660004,285.899994,289.600006,213900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),289.100006,292.23999,286.730011,290.140015,172000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),287.73999,289.200012,285.140015,288.640015,128100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),288.519989,291.690002,287.549988,291.390015,149900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),292.730011,298.600006,291.910004,298.26001,201100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),297.700012,298.549988,296.859985,297.429993,187800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),298.51001,299.75,297.600006,299.609985,205200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),300,302.890015,298.100006,298.470001,246600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),293.079987,294.679993,286.25,289.070007,255500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),290.709991,295.269989,288.570007,294.649994,290900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),319.880005,332.660004,318.140015,332.339996,600600
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),331.399994,333.329987,326.399994,326.429993,395100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),323.359985,325.820007,317.320007,317.570007,423500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),318.019989,319.029999,313.420013,316.269989,310000
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),316.269989,320.200012,316.269989,319.299988,215100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),320.700012,325.119995,319.190002,324.119995,226200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),322.890015,327.809998,322.429993,325.589996,177800
