date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.53,4.54,4.4,4.44,742600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.4,4.45,4.3,4.3,668300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.3,4.48,4.27,4.42,657300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.41,4.535,4.35,4.42,536400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.39,4.6,4.39,4.48,719800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.42,4.54,4.41,4.41,672800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.44,4.525,4.36,4.44,925800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.44,4.51,4.38,4.45,455800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.45,4.55,4.39,4.41,443200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.35,4.395,4.29,4.35,558900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.3,4.36,4.26,4.35,450900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.4,4.445,4.32,4.34,382100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.35,4.42,4.265,4.37,468900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.4,4.5,4.33,4.45,409100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.48,4.65,4.44,4.56,674600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.62,4.62,4.47,4.47,410700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.48,4.56,4.48,4.5,350900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.51,4.69,4.44,4.59,428800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.58,4.77,4.53,4.76,498100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.75,4.789,4.685,4.74,730300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.72,4.765,4.58,4.59,346200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.61,4.75,4.6,4.74,478900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.71,4.77,4.67,4.71,447100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.62,4.67,4.57,4.57,462800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.56,4.715,4.56,4.67,437700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.72,4.795,4.63,4.72,384400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.7,4.8,4.63,4.72,450600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.73,4.815,4.68,4.75,448900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.78,4.935,4.72,4.82,467100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.59,4.715,4.52,4.62,473700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.66,4.735,4.62,4.68,753300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.76,4.76,4.591,4.64,675500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.56,4.69,4.5,4.58,345200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.55,4.57,4.47,4.52,455000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.45,4.485,4.34,4.46,350800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.46,4.535,4.42,4.46,515700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.48,4.605,4.445,4.57,265400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.5,4.7,4.5,4.61,329600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.62,4.7,4.54,4.63,374300
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.59,4.655,4.51,4.53,375400
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.59,4.625,4.52,4.58,822700
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.59,4.675,4.54,4.66,338200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.65,4.655,4.535,4.57,454900
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.69,5.08,4.62,5.02,2474300
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.15,5.41,5.1,5.28,1537400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.26,5.3,5.16,5.19,866700
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.12,5.25,5,5.14,795000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.1,5.29,5.09,5.22,630300
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.21,5.308,5.17,5.28,498100
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.23,5.32,5.17,5.21,475700
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.18,5.22,5.025,5.08,614100
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.99,5.06,4.94,5.02,522400
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.01,5.21,5,5.16,435100
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.17,5.27,5.1,5.24,382000
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.23,5.39,5.225,5.3,437100
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.3,5.375,5.23,5.25,504300
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.26,5.33,5.19,5.28,462700
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.34,5.385,5.24,5.28,335700
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.3,5.5,5.24,5.42,448900
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.45,5.485,5.335,5.37,387300
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.37,5.45,5.31,5.41,381200
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.42,5.47,5.33,5.37,464600
