date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.6,2.63,2.58,2.58,4700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.58,2.77,2.53,2.69,40400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.61,2.61,2.54,2.59,16600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.56,2.75,2.56,2.75,48900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.75,2.9,2.63,2.89,78400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.84,2.84,2.66,2.69,91600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.64,2.64,2.59,2.59,12900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.57,2.6,2.57,2.6,9700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.53,2.6,2.47,2.57,7100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.6,2.6,2.49,2.53,2600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.48,2.61,2.48,2.58,5200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.59,2.64,2.49,2.52,29800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.49,2.61,2.49,2.57,5400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.5,2.82,2.5,2.64,75600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.64,2.75,2.64,2.7,22900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.7,2.99,2.7,2.81,58600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.82,2.82,2.71,2.71,15600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.8,2.89,2.72,2.76,17700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.72,2.76,2.6,2.65,19000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.6,2.81,2.6,2.7,25300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.63,2.73,2.6,2.61,14600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.71,2.77,2.69,2.77,11800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.76,2.79,2.76,2.79,32900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.79,2.79,2.64,2.66,9400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.56,2.7,2.56,2.7,8000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.7,2.86,2.7,2.76,28200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.84,2.91,2.62,2.88,48600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.9,2.9,2.75,2.8,32100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.87,2.87,2.67,2.67,8700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.75,2.99,2.68,2.83,79200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.95,2.99,2.88,2.91,33600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3.04,2.91,2.96,51500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,2.97,2.91,2.92,7600
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.04,3.04,2.93,2.96,61900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3,2.8,2.83,35100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,2.99,2.83,2.84,95100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,2.97,2.83,2.94,32100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.82,2.99,2.82,2.99,83600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.89,3.2,2.86,3.19,96900
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.19,3.2,3,3.14,19200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.15,3.19,3.06,3.12,48300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.06,3.2,3.06,3.12,28500
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.44,3.15,3.43,148000
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.4,3.45,3.29,3.31,40000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.31,3.46,3.3,3.4,55400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.4,3.5,3.35,3.4,31800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.45,3.45,3.25,3.29,65900
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.29,3.49,3.14,3.15,82100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.16,3.16,2.97,2.99,52800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.98,3.02,2.9,2.9,22000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.94,3,2.91,2.92,32900
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.88,3.2,2.88,3.08,97000
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,3.09,2.88,2.95,93000
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.93,3.19,2.9,2.93,141400
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.95,3.1,2.85,2.85,90700
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.9,2.94,2.81,2.85,95900
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.85,2.89,2.75,2.85,45200
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.85,2.9,2.72,2.85,464800
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.86,3.48,2.86,3.28,333600
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.31,3.04,3.2,79300
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.18,3.27,3.13,3.16,39400
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.09,3.1,3.01,3.06,17900
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.06,3.2,2.93,3.08,49000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.01,3.28,3.01,3.19,107000
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.24,3.37,3.08,3.36,49700
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.28,3.43,3.12,3.35,53500
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.26,3.43,3.14,3.31,58600
