date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.97,1.02,0.962,1.015,110000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.1,1.1,0.98,1,56100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.02,1.06,0.94,0.979,30900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.99,1.036,0.94,0.958,18400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.958,1.06,0.936,1.03,13800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.12,1.14,1.074,1.13,15600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.17,1.22,1.14,1.18,36800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.25,1.03,1.03,61200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1,1.047,0.98,0.999,75400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.99,1.098,0.99,1.01,29000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.08,1.08,0.9,0.95,26300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.06,1.06,0.96,1,20200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.98,1.12,0.95,1,71500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.98,1.007,0.95,0.98,35100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1,1.09,0.994,1.02,187500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.05,1.1,1.04,1.085,33900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.085,1.17,1.04,1.12,42300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.2,1.04,1.1,2818500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.17,1.17,1.015,1.11,938300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.2,1.122,1.17,66600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.13,1.2,1.06,1.1,45400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.11,1.17,0.96,0.99,229600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.96,1.05,0.946,1.05,159500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.01,1.01,0.92,0.968,155800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.99,1.05,0.96,1.03,120800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.04,1.08,0.932,1.05,186000
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.03,1.08,0.98,1,35000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.003,1.06,1,1.06,124600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.08,1.14,1.04,1.14,193800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.19,1.19,1.05,1.09,68600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.07,1.24,1.06,1.24,530600
