date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.06,4.3,3.91,4.2,1277300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.13,4.76,3.95,4.7,3890600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.73,4.97,4.46,4.9,3893300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5,5.54,4.64,5.1,5035800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.9,5.29,4.86,5.08,3105200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.96,5.28,4.55,5.155,2175200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.18,9.15,5.16,7.18,63367900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.04,7.1,5.83,6.63,9415000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.63,6.899,5.95,6.325,4079600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.51,6.84,6.015,6.36,2963400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.14,6.38,5.92,6.12,2632700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.12,6.19,5.5,5.65,2848500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.63,5.63,4.83,5.06,4272700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.21,5.6,5.12,5.39,1707000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.46,5.54,5.235,5.35,1585400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.49,5.955,5.24,5.32,2399600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.38,5.495,5.23,5.35,1851400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.41,5.6,5.32,5.47,1376800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.47,5.99,5.22,5.98,1377100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.94,5.98,5.64,5.65,1154800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.65,5.835,5.47,5.49,1399000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.49,5.83,5.43,5.83,998800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.79,5.82,5.58,5.74,1013300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.73,6.04,5.54,6.03,1112600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.03,6.375,5.87,6.29,1293300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.29,6.29,6,6.1,1075700
