date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.9,25.08,24.9,25.08,3100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.01,25.040001,24.75,25.040001,2300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.040001,25.040001,25.035,25.035,700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.040001,25.1,25,25.004999,1400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25,24.98,25,800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.018999,25.1,25.018999,25.1,1000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.01,25.01,25.01,25.01,1700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25,24.959999,25,2000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25,24.914,25,3400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.98,24.98,24.98,24.98,700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.969999,25,24.959999,25,1000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.950001,24.969999,24.950001,24.969999,400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.950001,25,24.950001,25,3700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.98,25.02,24.969999,25.01,2000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.01,25.045,25,25.02,11700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25.01,24.950001,25.01,18200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.004999,25.01,24.959999,24.959999,4600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.959999,25,24.959999,25,6800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.959999,25.02,24.959999,24.969999,12300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25,24.969999,25,9000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25,24.98,25,4800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.969999,24.98,24.969999,24.969999,1800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.959999,24.98,24.959999,24.98,2800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.950001,24.98,24.91,24.973,3400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25,24.959999,24.969999,1300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.997,25,24.997,25,700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.990999,24.990999,24.98,24.98,600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.959999,25,24.959999,25,5300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.999001,25.1,24.999001,25.01,4300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25,24.98,25,4300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.040001,25.076,25,25,4300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.02,25.039,25,25.004999,8700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25.059999,24.997,25.049999,5100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.049999,25.1,25.024,25.1,4200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.049999,25.059999,24.98,24.98,10900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.98,24.98,24.98,24.98,0
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.049999,25.1,25,25.1,5000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.054001,25.1,25.054001,25.1,1800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.1,25.1,25.1,25.1,0
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.110001,25.159,25.110001,25.159,2600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.200001,25.299999,25.200001,25.299999,1600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.207001,25.232,25.200001,25.232,2100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.198,25.198,25.198,25.198,1900
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.211,25.211,25.211,25.211,300
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.200001,25.200001,25.186001,25.186001,1200
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.25,25.25,25.201,25.209999,1400
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.209999,25.209999,25.209999,25.209999,0
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.219999,25.246,25.219999,25.246,1600
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.299999,25.299999,25.299999,25.299999,100
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.299999,25.309999,25.299999,25.299999,1100
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.299999,25.299999,25.299999,25.299999,0
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.833,24.950001,24.833,24.950001,800
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.950001,24.950001,24.950001,24.950001,900
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.93,24.93,24.85,24.860001,2400
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.868999,24.870001,24.868999,24.870001,300
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.870001,24.870001,24.870001,24.870001,0
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25,25,25,200
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.913,24.913,24.91,24.91,500
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.91,24.91,24.780001,24.780001,1600
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.02,25.02,24.9,25,1800
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25,24.968,24.968,1200
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.969999,24.99,24.969999,24.99,800
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.950001,25.025,24.950001,25.025,2100
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.01,25.030001,25.01,25.030001,1700
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.035,25.035,25.02,25.030001,500
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.049999,25.049999,25.049999,25.049999,400
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.059999,25.059999,25.059999,25.059999,800
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.030001,25.030001,25.030001,25.030001,100
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.016001,25.016001,24.969999,24.969999,2900
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.92,24.93,24.790001,24.92,8600
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.955,24.959999,24.940001,24.959999,1900
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.959999,24.985001,24.959999,24.969999,3400
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.959999,24.975,24.959999,24.959999,1200
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.950001,24.950001,24.85,24.91,7000
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.969999,24.969999,24.969999,24.969999,500
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.98,25.02,24.91,25,14500
