date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.5,24.5,24.01,24.07,6500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.27,24.299999,24.049999,24.049999,4900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.110001,24.690001,24.110001,24.690001,11000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.6,24.608,24.540001,24.608,1100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.65,24.65,24.488001,24.51,2200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.620001,24.620001,24.4,24.620001,4500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.6,24.610001,24.5,24.5,2500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.5,24.5,24.398001,24.469999,3200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.415001,24.6,24.415001,24.6,4300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.6,24.639999,24.5,24.639999,3600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.639999,24.639999,24.639999,24.639999,800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.65,24.65,24.549999,24.6,4200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.6,24.65,24.549999,24.65,3300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.65,24.65,24.629999,24.629999,4800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.549999,24.620001,24.549999,24.620001,700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.620001,24.690001,24.6,24.615,4400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.549999,24.620001,24.549999,24.620001,1700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.690001,24.690001,24.57,24.625999,5600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.584999,24.700001,24.584999,24.65,4200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.625,24.65,24.6,24.65,2000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.65,24.733999,24.65,24.733999,2900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.799999,24.818001,24.549999,24.549999,4600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.549999,24.799999,24.469999,24.799999,12600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.799999,24.799999,24.59,24.790001,3900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.889999,24.98,24.76,24.93,8700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.9,24.9,24.700001,24.9,1300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.82,24.830999,24.614,24.799999,5200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.799999,24.799999,24.469999,24.6,5500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.75,24.75,24.66,24.73,5700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.530001,24.705,24.51,24.620001,2800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.700001,24.799999,24.610001,24.746,14900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.799999,24.799999,24.610001,24.629999,7200
