date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.28,6.29,6.155,6.17,1576600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.15,6.515,6.05,6.35,2758700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.36,6.395,6.19,6.21,2242700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.17,6.316,6.06,6.12,1438800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.24,6.27,6.07,6.26,1085200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.16,6.23,6.075,6.11,1152900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.2,6.375,6.18,6.23,1592800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.3,6.3,5.95,6.03,1457600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.07,6.2,5.99,6.02,1485700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.03,6.05,5.815,5.87,1437400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.83,5.83,5.71,5.77,914800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.77,5.8,5.68,5.8,932900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.81,5.874,5.55,5.73,1450300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.72,6.09,5.7,6.07,1931900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.12,6.218,6.015,6.05,1282700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.1,6.1,5.84,5.85,937700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.87,5.96,5.82,5.95,803500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.99,6.02,5.9,5.92,872500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.94,6.01,5.84,6,1152000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6,6,5.79,5.86,789700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.86,5.91,5.74,5.74,965800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.77,5.81,5.66,5.73,1105600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.65,5.75,5.54,5.71,1204700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.67,5.67,5.43,5.46,1293500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.43,5.61,5.42,5.59,830800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.6,5.61,5.445,5.49,755700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.49,5.59,5.47,5.53,1148900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.08,6.3,5.7,5.88,2732100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.88,6.155,5.84,6.04,1398800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.9,5.92,5.77,5.91,1252900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.97,6.19,5.925,6.02,1162800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.03,6.23,6.025,6.19,920700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.13,6.21,6.03,6.15,897900
