date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21,22.445,20.440001,21.4,72200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.4,21.577999,20.495001,21.200001,31200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.200001,22.087,20.200001,20.200001,44500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.5,19.98,18.49,19.6,72800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.5,18.761,17.01,18.690001,72400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.5,18.5,16.32,16.84,43900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.5,17.348,16.23,16.49,42800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.16,18.51,16.700001,17,85600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.719999,19.66,16.700001,18.26,45200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.26,20.889999,18.23,20.75,34800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.139999,24.969999,20.83,24.299999,66800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.15,34.990002,25.049999,31.629999,210200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.23,39,31.01,36.860001,116900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.09,42,35.438999,36.810001,122600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.5,37.099998,31.82,33.380001,55400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.369999,33.779999,31.27,31.27,17700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.780001,35.297001,30.41,33.259998,30300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.599998,35.613998,33,34.740002,16400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.43,42.099998,35.007,40.200001,58400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40,41.709999,37.009998,38.959999,29200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.900002,39.330002,36.560001,37.990002,13600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37.509998,48.990002,37.470001,44,89800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.119999,45.860001,39.880001,42.400002,39300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.380001,42.82,38.505001,38.810001,69400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.490002,42,37.610001,39,50300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39,41.764,39,40.509998,35800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.25,42.450001,40.25,42.34,14900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.5,44.993999,40.550999,43.52,36500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.880001,49.299999,42.880001,47,41300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.060001,47.119999,45.051998,45.650002,10700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.849998,52.060001,46.25,48.950001,24500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.950001,51.490002,48.25,48.5,13800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.150002,50.75,49.02,49.779999,10800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.189999,58,49,50.939999,75400
