date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.87,12.03,11.62,11.91,38900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.7,12.07,11.7,11.95,21000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.06,12.2,11.71,12.08,28200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.05,12.2,11.93,11.99,22200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.99,12.12,11.7,12.09,27700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.09,12.09,11.72,11.95,21300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.84,11.93,11.7,11.81,31100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.78,11.96,11.61,11.96,30500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.8,12.22,11.8,11.98,16900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.07,12.34,11.79,11.91,30700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.71,11.91,11.11,11.22,89800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.2,11.66,11.2,11.45,55300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.2,11.4,11.2,11.27,33400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.06,11.88,10.79,11.84,38800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.13,11.77,11.13,11.22,43700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.25,11.45,11.25,11.42,10200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.32,11.52,11.18,11.33,23100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.32,11.7,11.23,11.23,21100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.25,11.48,11.25,11.38,8600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.58,11.76,11.31,11.71,27800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.87,12.09,11.3,11.31,32400
