date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.2,14.38,14.06,14.1,61900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.04,14.04,13.39,13.43,89800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.44,13.7,13.44,13.56,67200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.45,13.8,13.42,13.64,206800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.64,13.68,13.5,13.61,34700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.43,13.54,13.31,13.36,59500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.29,13.41,13.15,13.33,39700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.2,13.35,12.97,13.14,57700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.28,13.43,12.94,12.98,46000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.88,13.05,12.65,12.7,42700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.5,12.88,12.5,12.87,53200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.93,13.4,12.79,12.98,29500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.12,13.2,12.87,13.11,43700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.29,13.49,13.04,13.48,50000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.63,13.63,13.36,13.38,52700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.62,13.74,13.37,13.55,28800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.86,13.86,13.5,13.59,56900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.74,13.87,13.68,13.76,31500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.7,13.84,13.56,13.83,44700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.77,13.9,13.5,13.68,59600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.42,13.65,12.92,12.94,70000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.99,13.32,11.82,12.14,129300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.88,12.03,11.55,11.56,86500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.4,11.4,10.97,11.1,226700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.16,11.34,11.05,11.1,93700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.17,12.28,10.86,11.02,187400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11,11.23,10.92,11.05,124100
