date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.08,12.92,12.05,12.2,770800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.33,12.51,11.26,11.55,796900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.65,11.7,11.22,11.45,575500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.31,11.51,11.05,11.38,357800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.34,12.96,11.34,12.57,823300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.37,13.25,12.27,13.08,1469200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.17,13.89,12.98,13.6,1186300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.48,13.68,13.17,13.38,757100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.56,14.16,12.96,13.05,927500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.91,13.23,12.63,12.93,636400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.64,13.01,12.38,12.98,832200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.09,13.42,12.6,13.18,696200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.4,15.6,14.24,14.85,2718300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.74,15.51,14.65,14.97,1574600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.24,15.4,14.55,14.84,773800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.04,15.49,14.78,14.95,818400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.17,15.385,14.9,15.21,976300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.21,15.21,14.68,15.15,521900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.15,15.799,15.115,15.73,704000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.61,15.69,15.075,15.19,837300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.21,15.71,15.1,15.13,645800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.23,15.59,14.8,15.56,518400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.24,15.51,14.84,15.44,715600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.32,15.72,15.2,15.34,526600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.32,16.58,15.32,16.280001,1627800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.290001,16.440001,15.832,16.1,782200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.139999,16.76,16.049999,16.629999,678400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.700001,17.209999,16.57,16.73,1152700
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.799999,17.129999,15.68,16.290001,778000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.5,16.110001,15.25,15.76,574800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16,16.445,15.84,16.43,611000
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.83,17.540001,16.6,17.514999,724300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.32,18.325001,17.32,18.25,1129200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.790001,18.25,16.98,17.15,629300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.15,17.555,17,17.24,1071700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.98,17.5,16.98,17.290001,515600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.17,17.57,16.99,17,760400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.889999,17.51,16.75,17.41,532600
