date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.92,10.07,9.65,10.02,10200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.8,10.36,9.8,10.36,15700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.37,11.08,10.245,10.87,44500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.9,11.39,10.86,11.36,39100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.54,11.54,11.1,11.12,20000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.25,11.88,11.19,11.63,27000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.62,11.82,11.52,11.63,10800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.75,11.846,11.56,11.73,11100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.75,11.88,11.453,11.88,28500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.7,12.09,11.685,11.98,41700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.22,11.75,11.75,17300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.19,12.24,11.81,12,25200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.13,12.37,11.29,12.37,35400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.64,12.64,12.24,12.52,32900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.38,12.65,11.85,12.65,34900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.84,12.84,12.04,12.65,13600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.89,12.89,11.91,12.33,31200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.09,12.09,11.862,12.01,13700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.06,12.49,12.06,12.24,12700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.27,12.69,11.99,12.2,11300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.11,12.49,11.91,11.91,5100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.97,11.97,11.01,11.39,24500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.25,11.5,11.07,11.45,12200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.49,11.76,10.868,11.6,7200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.54,11.69,11.137,11.69,8800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.76,11.76,11.52,11.76,3600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.76,11.76,11.5,11.5,2700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.26,11.709,11.26,11.66,9400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.345,12.48,11,11.97,12700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.01,12.15,11.775,12.11,5300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.78,11.841,11.5,11.63,6300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.92,12.33,11.845,12.33,10500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.42,12.42,12.02,12.02,3900
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.65,12.3,11.65,12.3,6400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.134,12.45,12.134,12.45,11300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.53,12.53,12.197,12.35,8400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.18,12.35,11.94,11.94,4200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.75,12.02,11.61,12.015,6500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.67,12.05,11.67,12.05,2100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.91,12.27,11.84,12.27,4900
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.59,12.15,11.59,12,4700
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.75,12.123,11.54,12.05,7400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.9,12,12.89,38900
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.96,13.32,9.7,12.01,140400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.72,12.6,11.2,12.6,17800
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.572,12.99,12.364,12.88,13900
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.66,13,11.86,12.72,16600
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.26,13.26,12.562,12.79,51400
