date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6,6.48,5.73,6.25,80800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.13,6.13,5.5,5.76,77600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.29,5.96,5.2,5.51,84700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.5,5.69,5.21,5.53,54300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.18,9.04,5.83,5.95,4534500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.85,8.4,5.85,8.05,1215600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.49,7.621,8.09,279900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.94,8.05,7.4,7.7,110300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.89,8.06,7.18,7.71,225400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.29,8.39,7.8,8,351800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.9,9.05,7.85,8.06,750400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.47,8.48,7.18,7.51,388600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.5,8.25,7.12,8.1,242800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,8.2,7.26,7.86,247800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.92,8.2,7.45,7.8,335100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.84,7.95,7.5,7.77,106300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.77,8.19,7.714,8.1,190800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.15,8.3,7.76,7.98,153800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.99,8.24,7.805,7.96,193100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.94,8.13,7.768,8.08,396700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.99,8.1,6.55,6.89,455000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.9,7.18,5.4,7.09,779500
