date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),141.979996,144.029999,141,143.029999,1162900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),141.580002,142,139.360001,140.089996,1248500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),140.039993,141.410004,139.470001,140.259995,1162300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.550003,141.949997,138.759995,140.649994,1187200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),140.919998,142.5,140.259995,142.300003,1232800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),141.009995,142.380005,140.25,142.149994,897800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),142.529999,145.300003,142.380005,144.679993,1675700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),143.779999,145.25,142.729996,144.380005,1554900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),145.5,146.630005,144.440002,146.619995,1641900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),145.630005,146.520004,144.630005,145.529999,1934700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),143.630005,145.839996,140.889999,142.119995,1591800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),142.460007,142.970001,139.910004,141.830002,1214600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),142.440002,142.539993,140.190002,141.619995,1550500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),142.830002,143.949997,141.860001,142.020004,1611800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),142.710007,143.5,141.089996,142.600006,1138600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),144.089996,144.119995,140.850006,141.490005,1364600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),143.509995,143.910004,141.770004,142.830002,1139000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),143.199997,143.279999,141.729996,141.960007,1010300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),141.860001,141.860001,140.210007,141.729996,1305400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),141.289993,141.520004,139.220001,139.240005,2234500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.699997,140.589996,137.589996,138.610001,2292600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.320007,139.419998,136.740005,139.399994,2139500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.380005,138.990005,135.479996,137.940002,2028100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.360001,138.020004,135.149994,136.789993,2333000
