date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.48,34.529999,33.23,33.509998,586500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.049999,33.709999,32.41,33.189999,879600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.939999,33.939999,32.700001,32.720001,488400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.66,33.75,32.66,33.299999,422200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.299999,35.459999,33.27,34.630001,1492800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.099998,34.27,33.400002,33.700001,268500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.580002,33.700001,32.169998,32.34,616600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.220001,32.75,31.52,31.719999,628100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.9,31.990999,30.99,31.360001,626100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.040001,31.105,29.76,30.459999,700200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.85,30.74,29.700001,30.33,480600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.59,30.834999,30.030001,30.67,290500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.15,31.809999,30.5,31.68,586000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.85,32.310001,31.52,32.029999,388800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.509998,32.93,32.099998,32.400002,398300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33,33,32.130001,32.650002,666700
