date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.299999,36.810001,35.27,35.560001,33700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.580002,35.639999,34.119999,34.200001,42900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.389999,34.52,33.880001,33.900002,38100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.540001,33.740002,33.049999,33.119999,52400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.400002,34.98,33.400002,34.57,38700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.07,34.439999,33.630001,33.720001,36700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.73,34.869999,33.34,34.25,33500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.93,34.279999,33.330002,33.880001,39200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.34,34.34,33.48,33.73,38500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.290001,33.630001,32.900002,33.5,46100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.080002,33.700001,32.880001,33.43,44600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.529999,34.110001,33.419998,34.110001,27600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.400002,34.400002,33.549999,33.970001,32200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.91,34.560001,33.259998,33.639999,28800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.029999,34.810001,33.709999,34.709999,30400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.279999,35.779999,34.380001,34.799999,36900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.16,35.16,34.490002,34.689999,37300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.91,34.91,34.349998,34.349998,18700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.029999,35.560001,34.669998,35.560001,19400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.290001,35.290001,34.189999,34.959999,29000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.119999,37.5,35.119999,35.209999,86600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.900002,37.25,27.690001,32.43,87300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.5,32.560001,30.959999,31.77,64900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.27,31.870001,30.75,30.75,44000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.879999,31.73,30.32,30.75,52100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.65,30.9,29.34,30.799999,69600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.059999,32.110001,31.059999,31.889999,37800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.860001,32.869999,31.809999,32.720001,38400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.580002,34.66,32.25,34.080002,60800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.779999,33.849998,31.719999,32,80300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.389999,33.240002,32.389999,33.029999,31800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.509998,33.66,32.200001,32.560001,59700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.400002,32.509998,31.219999,31.290001,40600
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.76,31.98,30.219999,31.57,40400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.59,31.870001,31.280001,31.5,35300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.360001,32.169998,31.280001,31.870001,37300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.66,32.849998,31.530001,32.790001,23600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.549999,34.279999,32.549999,32.98,33000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.389999,33.57,32.759998,33.259998,23500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.849998,33.110001,32.560001,32.560001,17300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.290001,33.490002,31.9,31.9,24800
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.84,32.450001,31.280001,32.07,28700
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.150002,32.27,31.280001,31.639999,22600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.66,31.66,30.280001,30.33,67000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.459999,30.639999,29.719999,29.790001,42900
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.219999,30.719999,29.879999,30.15,31800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.58,31.01,30.41,30.67,30500
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.52,30.52,29.280001,29.450001,33400
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.709999,30.030001,29.059999,29.360001,89100
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.01,29.76,28.73,28.98,30400
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.74,29.360001,28,28.309999,44800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.059999,28.52,27.92,28.17,83400
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.07,28.27,27.290001,27.469999,42900
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.469999,28.33,27.309999,27.790001,65800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.6,29.01,27.6,28.82,41000
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.17,29.17,28.040001,28.26,36600
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.309999,28.309999,27.620001,27.66,19900
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.5,28.200001,27.440001,27.440001,31200
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.93,28.25,27.35,28.209999,41200
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.49,29.16,28.440001,28.799999,32300
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.219999,29.780001,29.18,29.34,44000
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),29.34,29.49,27.57,27.9,49100
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.6,27.6,26.51,26.969999,62400
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.67,27.360001,26.5,26.959999,34500
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.389999,27.940001,27.18,27.18,23900
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.040001,27.43,26.83,27.08,290200
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.35,27.799999,27.35,27.49,27700
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.860001,28.02,27.23,27.75,48100
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.32,27.860001,26.99,27.639999,53700
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.59,27.74,27.1,27.68,156900
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.540001,27.969999,26.860001,27,79500
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.27,27.280001,26.25,26.42,232300
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.299999,26.860001,26.25,26.6,155400
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.73,26.73,26.389999,26.52,443000
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.52,26.92,26.389999,26.389999,140400
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.24,27.09,26.219999,26.49,54900
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.52,26.559999,25.26,25.389999,116300
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.559999,27,25.35,26.92,52900
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.860001,26.860001,25.85,26.07,62800
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.74,26.219999,25.219999,26.17,31800
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.030001,26.68,25.799999,26.17,22700
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.52,26.6,25.76,25.85,23900
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.540001,25.870001,25.17,25.690001,65800
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.879999,34.360001,27,33.330002,256600
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),34.360001,35.5,32.889999,34.549999,381000
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.209999,35.209999,32.34,32.490002,90400
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),32.5,32.669998,31.879999,32.48,54200
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),31.65,32.779999,31.65,31.870001,32400
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),31.469999,31.690001,30.98,31.59,32300
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),31.48,32.75,31.48,32.32,51100
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),32.25,32.619999,31.68,32.16,30300
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),32.349998,32.740002,31.959999,32.450001,50000
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),32.610001,33.360001,32.400002,33,56600
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),33.34,34.16,32.98,33.560001,183300
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),33.720001,34.240002,33.48,34.080002,38900
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),34.380001,34.799999,34.150002,34.619999,36900
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),34.52,35.25,33.869999,35.060001,67000
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),34.91,35.220001,34.209999,34.889999,20800
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),34.73,35.830002,34.73,35.27,32500
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.220001,35.360001,34.029999,34.220001,31600
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),34.450001,34.450001,34.150002,34.380001,22400
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),34.18,35.380001,34.18,35.099998,42900
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),42.299999,42.360001,42.049999,42.099998,2897500
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),42.110001,42.220001,42.060001,42.099998,1203900
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),42.080002,42.16,42,42.060001,706700
