date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.9,8.41,7.58,7.88,501800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.69,7.8,7.52,7.62,389300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.68,7.8,7.54,7.69,324800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.61,8.19,7.57,8,532300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.97,8.21,7.79,8.06,304400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,7.86,7.41,7.55,381500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.45,7.84,7.31,7.84,210400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.81,7.86,7.56,7.85,271300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.05,8.21,7.8,7.83,169900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.74,7.74,7.48,7.52,231100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.25,7.64,7.24,7.61,241000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.66,7.8,7.15,7.24,333700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.3,7.55,7.16,7.55,203000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.64,8.16,7.6,8.09,305300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.28,8.32,7.97,8.09,272700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.4,8.61,8.2,8.25,297100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.48,9.2,8.48,9.12,325700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.14,9.35,8.79,8.97,287300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.01,9.15,8.68,8.72,239400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.57,8.57,8.22,8.23,203800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.26,8.39,7.96,7.97,227700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.11,8.34,7.82,8.16,205600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.95,8.03,7.7,7.85,224900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.52,7.54,7.31,7.36,221000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.36,7.69,7.28,7.43,213500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.44,7.58,5.35,5.64,1260300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.72,6.22,5.57,5.67,1003700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.61,5.95,5.61,5.87,923500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.86,7.1,5.86,7.03,680000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.52,6.66,6.24,6.24,460600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.42,6.48,5.95,5.97,356600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.02,6.49,5.98,6.42,512500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.29,6.33,6.07,6.11,423200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.92,5.97,5.69,5.71,407000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.68,5.71,5.45,5.51,404700
