date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.76,17.98,17.42,17.67,3906300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.35,17.379999,17.01,17.07,4176200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.950001,16.950001,16.58,16.620001,3600300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.67,17.24,16.629999,17.1,4797400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.27,17.610001,17.120001,17.459999,3642400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.02,17.200001,16.440001,16.67,5839100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.629999,17.07,16.15,17.02,5653200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.040001,17.280001,16.77,17.040001,3722300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.379999,17.48,16.719999,17.110001,3992500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.02,18,16.969999,17.68,11367600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.370001,17.77,17.17,17.549999,7254100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.799999,18.049999,17.139999,17.379999,4892700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.43,17.450001,16.540001,17.030001,7069700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.65,18.870001,17.129999,17.33,12460500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.43,17.48,17.01,17.08,4392300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.469999,17.74,17.27,17.370001,3844100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.549999,17.92,17.309999,17.9,4289300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.9,18.27,17.780001,18.1,4192600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.120001,18.6,18.09,18.32,5144900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.27,18.27,17.639999,17.809999,4138300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.719999,17.9,17.16,17.190001,5716100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.1,17.940001,16.950001,17.879999,5386000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.67,18.34,17.67,18.209999,3858300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.059999,18.129999,17.379999,17.620001,4005900
