date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),87,87.440002,81.669998,84.910004,781500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),83.32,83.540001,79.639999,79.760002,416300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.010002,80.099998,78.25,78.25,314100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78,79.07,76.839996,77.089996,306700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.300003,79.209999,77.279999,78.720001,431100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.400002,77.760002,74.709999,77.089996,451400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.589996,78.379997,76.169998,78.290001,273600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.160004,78.959999,77.32,78.410004,300500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.480003,79.919998,77.690002,78.400002,175300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78,79.779999,76.43,79.730003,427400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.410004,78.43,76.870003,78,212100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.489998,79.260002,76.300003,77.57,277600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.93,78.120003,75.099998,76.199997,438600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.75,77.900002,75.82,76.610001,254400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.889999,77,69.610001,72.040001,806400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.75,72.75,70.589996,71.779999,481400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.339996,73.510002,72.559998,73.129997,290500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.800003,75.25,73.230003,75.129997,373200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.040001,77.080002,74.5,77.029999,298200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77,78.07,75.940002,77.169998,266200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.410004,77.5,74.440002,75.099998,674000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.900002,78.599998,75.110001,78.360001,329500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78,79.019997,76.889999,78.529999,314000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.620003,78.470001,75.879997,76.120003,263000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.860001,76.93,74.699997,76.93,294700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.449997,79.760002,77.139999,79.559998,359400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.989998,82.489998,79.419998,82.300003,369400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.5,84.459999,81.620003,83.43,302300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),83.029999,84.529999,81.779999,82.809998,363400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.669998,81.150002,76.010002,79.5,486400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.910004,83.839996,80.910004,83.129997,273900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),83.339996,84.57,81.860001,84.470001,347200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),83.970001,85.349998,83.199997,84.120003,244000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.43,83.18,81.830002,82.139999,322700
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.419998,83.050003,81.25,82.919998,250200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),83.849998,85.720001,83.400002,84.550003,269900
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),85,87.260002,84.410004,87.019997,233200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88,90.360001,87.900002,89.949997,597500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.559998,113.080002,95.25,106.220001,1517900
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),106.900002,107.949997,103.459999,106.139999,1095300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),106.400002,108.410004,105.480003,106.639999,689200
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),108.779999,111.889999,106.75,110.980003,604100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),111.800003,116.360001,110,111.339996,398900
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),110.5,111.550003,107.730003,108.410004,331900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),110.129997,111.709999,107.529999,110.139999,253900
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),110.639999,111.739998,109.089996,109.639999,339300
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),111.150002,113.559998,110.300003,111.160004,284500
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),111.610001,111.610001,106.419998,108.57,306800
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),108.610001,112.239998,106.639999,111.980003,286800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),111.68,111.870003,108.879997,110.010002,225500
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),110.610001,110.959999,107.190002,108.489998,242000
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),108.07,110.199997,107.050003,107.370003,525700
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),107.489998,110.980003,106.440002,106.760002,292300
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),105.330002,109.190002,103.330002,108.400002,279300
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),108.010002,110.349998,106.540001,109.690002,266400
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),110.830002,112.860001,109.540001,109.949997,438900
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),111.010002,112.870003,110.559998,112.029999,321800
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),112,113.940002,111.059998,111.540001,337900
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),112.040001,114.360001,111.540001,112.809998,288500
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),113.760002,114.089996,111.739998,113.43,290900
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),112.440002,113.260002,109.629997,110.309998,607300
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),110.25,111.139999,108.18,109.809998,271600
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),107.5,107.5,104.82,105.470001,371000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),104.800003,108.919998,104.43,107.620003,261300
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),109.059998,109.93,104.800003,105.239998,221800
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),105.160004,108.300003,105.160004,107.550003,215900
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),108.5,109.269997,106.260002,106.400002,194500
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),106.029999,106.589996,103.25,106.029999,228000
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),103,105.709999,101.050003,103.959999,286400
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),103.959999,105.879997,103.440002,105.529999,200500
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),105.360001,105.940002,103.540001,104.889999,135100
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),106.050003,107.269997,100.040001,100.410004,227500
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),100,100.650002,97.709999,99.690002,333100
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),100.489998,100.629997,97.879997,100.110001,283700
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),100.199997,100.75,96.910004,98.32,335800
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.75,99.290001,94.599998,96.559998,320400
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.660004,98.089996,95.43,97.410004,286500
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),98.199997,101.940002,97.550003,101.550003,210600
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),102.589996,105,100,100.970001,263700
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),98.260002,102.32,97.970001,102.199997,305500
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),102.480003,106.150002,102.260002,105.889999,285200
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),106.43,106.730003,103.57,105.75,322300
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),105.339996,105.720001,101.18,101.599998,326500
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),102.019997,102.919998,99.040001,99.160004,239000
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),99.160004,101.900002,98.389999,100.650002,331400
