date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.43,0.44,0.43,0.44,41000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.47,0.49,0.39,0.49,41500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.48,0.48,0.43,0.44,77600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.43,0.45,0.41,0.44,213100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.44,0.48,0.44,0.48,157500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.47,0.5,0.45,0.5,47400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.48,0.5,0.45,0.48,57000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.46,0.5,0.39,0.42,128300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.41,0.45,0.39,0.43,44800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.43,0.44,0.38,0.41,7500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.38,0.44,0.38,0.4,5200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.39,0.42,0.37,0.38,175400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.4,0.42,0.37,0.38,88700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.38,0.42,0.37,0.38,92200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.37,0.42,0.31,0.39,236100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.38,0.4,0.33,0.37,162200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.34,0.4,0.34,0.37,174500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.37,0.37,0.33,0.35,303500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.34,0.42,0.34,0.39,165700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.39,0.42,0.39,0.42,11000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.42,0.43,0.39,0.39,71000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.4,0.4,0.36,0.4,80100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.38,0.4,0.35,0.4,120800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.37,0.39,0.36,0.38,194500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.37,0.38,0.35,0.35,139200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.35,0.37,0.34,0.34,59300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.35,0.43,0.35,0.41,140600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.41,0.62,0.41,0.54,731900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.54,0.58,0.48,0.52,327800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.54,0.59,0.5,0.51,120100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.5,0.57,0.5,0.51,75900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.52,0.55,0.51,0.54,96700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.51,0.56,0.51,0.53,12800
