date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.412,0.44,0.4,0.401,75100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.39,0.4,0.39,0.4,111400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.4,0.413,0.39,0.4,46600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.413,0.45,0.395,0.45,1921500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.395,0.41,0.395,0.396,262100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.4,0.401,0.351,0.36,309000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.36,0.36,0.351,0.355,38100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.366,0.366,0.33,0.342,173300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.36,0.36,0.33,0.331,54200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.36,0.36,0.325,0.325,54900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.321,0.335,0.3,0.316,67200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.316,0.33,0.314,0.323,105100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.311,0.32,0.301,0.316,78700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.314,0.316,0.3,0.313,19800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.323,0.323,0.306,0.308,141500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.308,0.315,0.3,0.3,21200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.3,0.309,0.3,0.305,27600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.305,0.333,0.304,0.329,166300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.33,0.34,0.32,0.34,33900
