date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.25,98.629997,96.769997,98.199997,1281500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.589996,96.970001,93.900002,94.099998,1397700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94.099998,94.980003,93.730003,94.32,860600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.93,96.580002,93.720001,95.510002,1125000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.010002,97.839996,95.980003,97.839996,1247000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.730003,97.690002,96.519997,97.540001,907100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.599998,98.199997,96.870003,98.169998,769100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.889999,98.669998,96.449997,96.889999,1041600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.779999,98.440002,95.129997,95.5,1014300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94.699997,94.699997,92.93,94.300003,1645800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),92.550003,93.459999,91.860001,92.860001,1316600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.5,94.550003,92.790001,94.480003,1172300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94.720001,95.349998,93,94.900002,998300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.650002,96.739998,95.360001,96.120003,825400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.610001,96.82,93.870003,94.309998,898700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.389999,95.5,92.790001,92.889999,1573900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.769997,95.110001,93.059998,95.050003,1246400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.059998,96.010002,94.330002,94.690002,1221000
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94.5,96.459999,93.949997,96.459999,1287200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.849998,96.75,95.059998,95.290001,1185700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.190002,95.900002,92.900002,93.300003,2878100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),91.080002,91.980003,88.419998,91.860001,4214900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),90.18,90.989998,88.209999,90.629997,1957000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),89.82,89.879997,88.129997,88.290001,1869500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88.080002,89.919998,87.57,89.339996,1964000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),90.099998,90.099998,88.300003,89.690002,1896500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),89.550003,89.660004,88.589996,89.269997,1061700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),89.230003,89.449997,88.559998,88.940002,806300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88.940002,91.190002,88.830002,91,1187500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),87.82,88.07,86.160004,87.110001,1711800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88.330002,89.410004,87.400002,88.650002,1558800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),89.379997,90.040001,88.790001,89.629997,923900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88.540001,89.190002,88.059998,88.349998,864100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),87.540001,88.510002,87.349998,88.459999,817100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88.559998,88.699997,87.769997,88.669998,794800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),89.199997,89.440002,88.379997,88.669998,753700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),89,89.82,87.860001,89.139999,1113000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88.739998,88.919998,86.419998,86.989998,1740800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),87.610001,88.580002,86.940002,88.5,1014300
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),87.779999,88.720001,87.68,87.970001,741200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88.699997,89.480003,87.940002,89.290001,1259300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),89.290001,90.080002,88.599998,89.57,906300
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),89.389999,91.129997,88.160004,89.610001,1156800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),89.879997,91,88.709999,88.959999,936200
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),89.970001,90.660004,88.650002,90.089996,666600
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),90.139999,91.239998,89.82,91.120003,1016200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),91.800003,93.269997,91.470001,91.480003,1086700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),91.260002,92,90.18,91.959999,888200
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),92.25,92.769997,90.610001,91.389999,1290200
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),91.43,92.68,91.279999,92.120003,1582000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),91.830002,92.029999,88.599998,89.589996,1876200
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88.459999,89.870003,87.970001,88.150002,2334400
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88.5,88.82,87.099998,88.129997,1608400
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88.080002,90.889999,88.080002,90.660004,1563700
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),90.989998,92.980003,90.860001,92.550003,1351900
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.110001,96.339996,93.110001,95.809998,1845900
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.190002,96.809998,94.400002,94.68,1018300
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94.870003,95.709999,94.139999,94.43,1311600
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94.639999,95.129997,93.440002,93.480003,1081600
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.959999,97.080002,93.949997,97.059998,1416400
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),97.389999,98.279999,96.330002,97.93,1492900
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.830002,97.889999,95.449997,95.459999,1210800
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.940002,94.970001,93.860001,94.489998,1516100
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.379997,96.290001,94.150002,96.239998,1048400
