date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.84,17.379999,16.83,17.25,47624300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.32,17.379999,17.219999,17.23,33612400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.26,17.299999,17.15,17.15,35703700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.16,17.52,17.1,17.469999,33288500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.450001,17.49,17.24,17.32,41215100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.969999,16.98,16.83,16.950001,30338400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.9,16.9,16.76,16.870001,26893800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.799999,16.799999,16.15,16.23,59137500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.34,16.620001,16.33,16.48,32656700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.42,16.6,16.34,16.440001,39033400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.379999,16.629999,16.35,16.41,39261000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.290001,16.42,16.190001,16.4,35127800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.66,16.780001,16.4,16.67,52543800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.719999,16.9,16.639999,16.799999,44093400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.040001,17.25,16.98,17.190001,59713000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.559999,17.040001,16.459999,16.68,79217000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.77,17.190001,16.690001,17.18,54457900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.15,17.379999,17.120001,17.290001,38567300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.219999,17.280001,17.049999,17.25,38264800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.25,17.59,17.18,17.530001,54946400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.51,17.82,17.5,17.690001,52968100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.09,18.16,17.82,18.040001,71660400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.93,17.98,17.76,17.83,33245400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.709999,17.870001,17.58,17.73,31496900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.66,17.77,17.549999,17.610001,25734200
