date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.14,0.14,0.14,0.14,500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.102,0.102,0.102,0.102,1000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.102,0.102,0.102,0.102,0
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.15,0.15,0.15,0.15,400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.15,0.15,0.15,0.15,0
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.15,0.15,0.15,0.15,0
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.15,0.15,0.15,0.15,0
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.15,0.15,0.15,0.15,0
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.15,0.15,0.15,0.15,0
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.15,0.15,0.15,0.15,0
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.15,0.15,0.15,0.15,0
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.15,0.15,0.15,0.15,0
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.102,0.19,0.102,0.12,6000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.12,0.12,0.12,0.12,0
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.12,0.12,0.12,0.12,0
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.11,0.11,0.102,0.107,54800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.107,0.107,0.107,0.107,0
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.107,0.107,0.107,0.107,100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.106,0.106,0.106,0.106,100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.106,0.106,0.102,0.102,90200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.102,0.102,0.081,0.1,22000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.1,0.1,0.1,0.1,0
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.1,0.1,0.1,0.1,0
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.1,0.1,0.1,0.1,0
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.081,0.081,0.081,0.081,900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.081,0.081,0.081,0.081,0
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.081,0.081,0.081,0.081,0
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.081,0.104,0.081,0.104,5000
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.13,0.15,0.13,0.15,200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.09,0.09,0.09,0.09,800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.09,0.09,0.09,0.09,0
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.09,0.09,0.09,0.09,0
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.082,0.082,0.082,0.082,2800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.082,0.082,0.082,0.082,0
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.13,0.13,0.13,0.13,300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.13,0.13,0.13,0.13,0
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.082,0.138,0.082,0.138,1000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.085,0.116,0.082,0.082,3600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.082,0.097,0.082,0.097,5800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.097,0.097,0.097,0.097,0
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.082,0.115,0.082,0.115,1000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.115,0.115,0.115,0.115,0
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.115,0.115,0.115,0.115,0
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.115,0.115,0.115,0.115,0
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.082,0.082,0.082,0.082,20300
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.082,0.082,0.082,0.082,0
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.082,0.082,0.082,0.082,0
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.082,0.082,0.082,0.082,83900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.082,0.082,0.082,0.082,0
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.082,0.082,0.082,0.082,0
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.082,0.082,0.082,0.082,0
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.082,0.082,0.082,0.082,0
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.061,0.07,0.061,0.07,5200
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.063,0.07,0.061,0.07,256800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.07,0.07,0.07,0.07,0
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.07,0.07,0.07,0.07,0
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.07,0.07,0.07,0.07,0
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.07,0.07,0.07,0.07,0
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.07,0.08,0.07,0.075,5700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.072,0.081,0.072,0.081,3700
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.072,0.085,0.072,0.074,75700
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.09,0.094,0.09,0.094,4000
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.075,0.135,0.075,0.135,5800
