date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.622,3.666,3.47,3.54,39811
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.49,3.54,3.25,3.38,63038
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.31,3.5,3.252,3.48,49007
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.5,3.52,3.336,3.48,16185
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.464,3.56,3.336,3.532,24854
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.538,3.56,3.38,3.518,22644
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.54,3.54,3.39,3.498,23393
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.54,3.54,3.38,3.478,17951
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.48,3.596,3.34,3.384,73114
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.38,3.588,3.362,3.38,34750
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.48,3.48,3.01,3.14,68067
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.01,3.196,3,3.054,25094
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.038,3.134,2.9,3.056,44246
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.82,3.24,2.82,3.12,34055
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.08,3.184,3.01,3.1,24406
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.18,3.6,3.18,3.536,66713
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.45,4.2,3.402,4.08,226323
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.21,4.4,3.9,4.14,145471
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.14,4.4,3.97,4.212,36375
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.514,4.6,4.022,4.176,21391
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4,4.176,3.786,3.79,49216
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.788,3.964,3.7,3.9,36639
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.98,3.98,3.744,3.94,10730
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.992,4,3.7,3.996,23233
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.992,3.994,3.62,3.8,62032
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.732,3.916,3.732,3.916,24758
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4,4.082,3.802,3.914,26525
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.8,3.912,3.642,3.758,35846
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4,4,3.72,3.99,54404
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4,4,3.81,3.9,13141
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.86,4,3.642,3.8,48386
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.87,3.94,3.6,3.804,48802
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.804,3.804,3.622,3.736,17918
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.64,3.8,3.6,3.722,20722
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.7,3.76,3.6,3.622,18451
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.66,3.664,3.442,3.596,33216
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.488,3.576,3.166,3.322,67804
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.26,3.66,3.26,3.66,29967
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.708,3.72,3.53,3.558,26512
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.558,3.69,3.302,3.484,21714
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.48,3.78,3.48,3.62,45262
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.59,3.954,3.59,3.76,73774
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.8,3.8,3.436,3.77,44696
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.664,3.798,3.484,3.75,78847
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4,4,3.502,3.94,129896
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4,4.796,3.82,4.65,351416
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.558,5.2,4.5,4.94,269670
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5,5.884,4.62,5.8,385003
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.31,8.03,6.302,7.8,929888
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,14.746,7.8,12.62,1333686
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.386,12.4,7.134,8.752,1037198
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.598,7.022,7.5,330710
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.366,7.6,5.75,7.222,418695
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.2,10.2,6.738,7.79,448475
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.714,8,7.022,7.44,116475
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.4,9,7.21,8.74,320851
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9,11,8.9,9.132,507868
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.412,10,8.812,9.2,185300
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.158,9.2,7.8,8.6,168910
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.1,8.6,7.8,8.202,80248
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.132,9.202,7.942,8.596,156696
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.834,8.834,8.2,8.226,69759
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.3,8.54,8.002,8.312,59163
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.92,8.08,3.72,4.39,856283
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.602,5.582,4.52,5.246,431623
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.2,5.4,4.604,5.106,94436
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.842,5,3.7,3.84,346572
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.84,4.078,3.026,3.362,208627
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.01,3.15,2.7008,3.01,285269
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.1,3.374,2.55,2.59,214586
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.61,2.65,2.25,2.36,344803
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.15,2.2847,1.7226,1.8,254190
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.8,1.93,1.59,1.71,264946
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.71,2.89,1.71,2.29,2023692
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.09,2.34,2.06,2.11,359977
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.12,2.14,1.93,1.96,250528
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.91,1.94,1.7,1.82,143958
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.82,1.956,1.82,1.85,55123
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.83,1.9399,1.83,1.89,65903
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.88,1.9687,1.7642,1.79,131052
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.77,1.88,1.7,1.81,206653
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.83,2.1,1.81,1.8747,243873
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.9,1.9486,1.7,1.73,191248
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.69,1.85,1.69,1.71,192431
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.72,1.8699,1.72,1.81,149415
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.82,1.935,1.8033,1.86,261679
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.88,1.9199,1.7701,1.81,107223
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.83,1.84,1.74,1.82,90880
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.81,1.8392,1.71,1.76,114186
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.75,1.83,1.7212,1.83,132599
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.82,2.05,1.795,1.93,451307
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2,2.05,1.9107,2.02,150481
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.02,2.06,1.95,1.97,169230
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.6,1.7,1.515,1.62,206969
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.62,1.684,1.52,1.53,108043
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.58,1.58,1.4201,1.43,119558
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.42,1.52,1.4107,1.44,83729
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.48,1.49,1.42,1.49,49067
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.52,1.5484,1.47,1.5,51377
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.49,1.57,1.49,1.52,122904
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.53,1.54,1.4815,1.49,56465
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.49,1.5299,1.48,1.5,35542
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.52,1.52,1.4801,1.51,78603
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.49,1.5,1.21,1.25,271139
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.32,1.33,1.26,1.28,46453
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.28,1.38,1.24,1.27,101485
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.36,1.36,1.21,1.25,72346
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.3,1.3,1.2,1.22,78070
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.22,1.2287,1.14,1.18,66262
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.16,1.2445,1.1,1.14,84830
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.13,1.13,1.06,1.08,45490
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.1,1.12,1.03,1.08,154652
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.6949,1.01,0.66,0.9999,1114970
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.9972,1,0.8516,0.97,161732
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.97,1.48,0.9301,1.26,745977
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.28,1.35,1.22,1.34,278526
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.34,1.3987,1.26,1.29,78922
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.27,1.33,1.21,1.23,67717
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.22,1.3,1.2,1.25,80794
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.22,1.3,1.15,1.23,121014
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.21,1.55,1.21,1.49,258615
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.4,1.54,1.4,1.45,86187
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.45,1.77,1.41,1.43,507000
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.05,1.71,0.85,1.6,371535
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.27,1.6,1.11,1.11,354478
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.03,1.1,0.7,1,118276
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.75,0.90495,0.75,0.8499,50458
Fri Jul 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.80505,0.95,0.7,0.95,62837
Mon Jul 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.705,0.85204,0.705,0.75,13791
Tue Jul 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.75,0.7925,0.705,0.7649,22944
Wed Jul 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.705,0.73575,0.65,0.72,32107
Thu Jul 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.74,0.74,0.65,0.68,13586
Fri Jul 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.66,0.708,0.65,0.66,7424
Mon Jul 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.9,0.9,0.65,0.78,18992
Tue Jul 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.845,0.88,0.6,0.6222,35327
Wed Jul 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.6,0.6551,0.6,0.63015,18720
Thu Jul 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.6201,0.66,0.6025,0.66,8034
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.615,0.63,0.601,0.601,12455
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.615,0.615,0.601,0.601,3401
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.615,0.615,0.601,0.601,3401
